Tight Ends ,Team,Opp. ,Points,Salary
"Olsen, Greg",car,v. nor,36.4,4800.00
"Barnidge, Gary",cle,v. oak,25.5,2500.00
"Graham, Jimmy",sea,v. chi,21.3,5800.00
"Clay, Charles",buf,@ mia,19.2,3100.00
"Gronkowski, Rob",nwe,v. jac,17.1,7400.00
"Kelce, Travis",kan,@ gnb,16,5000.00
"Reed, Jordan",was,@ nyg,15.6,3800.00
"Daniels, Owen",den,@ det,13.8,2900.00
"Walker, Delanie",ten,v. ind,13.8,3400.00
"Harbor, Clay",jac,@ nwe,13.3,2500.00
"Witten, Jason",dal,v. atl,12.5,4500.00
"Ebron, Eric",det,v. den,10.1,3300.00
"Fleener, Coby",ind,@ ten,9.1,3000.00
"Phillips, John",sdg,@ min,7.5,2500.00
"Williams, Maxx",bal,v. cin,7.4,2500.00
"Watson, Ben",nor,@ car,7.2,3000.00
"Gillmore, Crockett",bal,v. cin,7,3300.00
"Donnell, Larry",nyg,v. was,6.2,3100.00
"Doyle, Jack",ind,@ ten,6.2,2500.00
"Celek, Garrett",sfo,@ ari,5.9,2500.00
"Fells, Daniel",nyg,v. was,5.7,2500.00
"Bennett, Martellus",chi,@ sea,5.5,4600.00
"Gresham, Jermaine",ari,v. sfo,5.4,2500.00
"Ertz, Zach",phi,@ nyj,5,3500.00
"Stevens, Craig",ten,v. ind,4.9,2500.00
"Myers, Brandon",tam,@ hou,4.8,2500.00
"Cameron, Jordan",mia,v. buf,4.6,3800.00
"Chandler, Scott",nwe,v. jac,4.5,2700.00
"Dickson, Ed",car,v. nor,3.9,2500.00
"Boyle, Nick",bal,v. cin,3.9,2500.00
"Miller, Heath",pit,@ stl,3.7,3500.00
"Green, Virgil",den,@ det,3.6,2500.00
"Fasano, Anthony",ten,v. ind,3.6,2800.00
"Toilolo, Levine",atl,@ dal,3.6,2500.00
"Rodgers, Richard",gnb,v. kan,3.5,2500.00
"Rudolph, Kyle",min,v. sdg,3.4,3300.00
"Quarless, Andrew",gnb,v. kan,3.4,2500.00
"Kendricks, Lance",stl,v. pit,3.2,2700.00
"Miller, Zach",chi,@ sea,3.1,2500.00
"Cumberland, Jeff",nyj,v. phi,3,2500.00
"Fells, Darren",ari,v. sfo,2.3,2500.00
"Stoneburner, Jake",mia,v. buf,2.3,2500.00
"Hill, Josh",nor,@ car,2,2500.00
"Graham, Garrett",hou,v. tam,1.9,2500.00
"Smith, Lee",oak,@ cle,1.8,2500.00
"Tamme, Jacob",atl,@ dal,1.8,2800.00
"Cook, Jared",stl,v. pit,1.7,2800.00
"Bell, Blake",sfo,@ ari,1,2500.00
"Johnson, David",sdg,@ min,0.2,2800.00
"Helfet, Cooper",sea,v. chi,0,2500.00
"Harris, Clark",cin,@ bal,0,2500.00
"Burton, Trey",phi,@ nyj,0,2500.00
"Mulligan, Matthew",buf,@ mia,0,2500.00
"Ellison, Rhett",min,v. sdg,0,2500.00
"Davis, Kellen",nyj,v. phi,0,2500.00
"Walford, Clive",oak,@ cle,0,2500.00
"Niklas, Troy",ari,v. sfo,0,2500.00
"Spaeth, Matt",pit,@ stl,0,2500.00
"Wright, Tim",det,v. den,0,2500.00
"Lewis, Marcedes",jac,@ nwe,0,2500.00
"Eifert, Tyler",cin,@ bal,0,4800.00
"Williams, Michael",nwe,v. jac,0,2500.00
"O'Shaughnessy, James",kan,@ gnb,0,2500.00
"Brockel, Richie",car,v. nor,0,2500.00
"Davis, Vernon",sfo,@ ari,0,3200.00
"Supernaw, Phillip",ten,v. ind,0,2500.00
"Jacobs, Nic",jac,@ nwe,0,2500.00
"Carrier, Derek",was,@ nyg,0,2500.00
"Harris, Demetrius",kan,@ gnb,0,2500.00
"Escobar, Gavin",dal,v. atl,0,2600.00
"Rivera, Mychal",oak,@ cle,0,2500.00
"Pruitt, MyCole",min,v. sdg,0,2500.00
"Kroft, Tyler",cin,@ bal,0,2500.00
"McCoy, Anthony",was,@ nyg,0,2500.00
"Hewitt, Ryan",cin,@ bal,0,2500.00
"Celek, Brent",phi,@ nyj,0,2500.00
"Housler, Rob",cle,v. oak,0,2500.00
"Stocker, Luke",tam,@ hou,0,2500.00
"Harkey, Cory",stl,v. pit,0,2500.00
"Gray, Marqueis",buf,@ mia,0,2500.00
"Dray, Jim",cle,v. oak,0,2500.00
"Hanna, James",dal,v. atl,0,2500.00
"Fiedorowicz, C.J.",hou,v. tam,0,2500.00
