Tight Ends ,Team,Opp. ,Points,Salary
"Gronkowski, Rob",nwe,v. nyj,30.8,8100.00
"Reed, Jordan",was,v. tam,30.2,4200.00
"Ebron, Eric",det,v. min,19.9,3000.00
"Barnidge, Gary",cle,@ stl,19.1,4900.00
"Green, Ladarius",sdg,v. oak,18.5,2900.00
"Hoomanawanui, Michael",nor,@ ind,14.1,2500.00
"Witten, Jason",dal,@ nyg,13.3,4800.00
"Walker, Delanie",ten,v. atl,12.5,3900.00
"Kelce, Travis",kan,v. pit,12.3,4900.00
"Walford, Clive",oak,@ sdg,12.2,2500.00
"Ertz, Zach",phi,@ car,11.3,3200.00
"Gillmore, Crockett",bal,@ ari,10.3,2500.00
"Gresham, Jermaine",ari,v. bal,10.2,2500.00
"Davis, Vernon",sfo,v. sea,10.1,3000.00
"Watson, Ben",nor,@ ind,9.9,3300.00
"Olsen, Greg",car,v. phi,9.5,6100.00
"Rudolph, Kyle",min,@ det,9,3100.00
"Fleener, Coby",ind,v. nor,7.7,3000.00
"Tamme, Jacob",atl,@ ten,6.6,2900.00
"Boyle, Nick",bal,@ ari,6,2500.00
"Donnell, Larry",nyg,v. dal,5.8,3300.00
"Clay, Charles",buf,@ jac,5.6,4300.00
"Gragg, Chris",buf,@ jac,5.5,2700.00
"Chandler, Scott",nwe,v. nyj,5.4,2500.00
"Stocker, Luke",tam,@ was,5.2,2500.00
"Graham, Jimmy",sea,@ sfo,5.1,5400.00
"Fasano, Anthony",ten,v. atl,5.1,2500.00
"Cameron, Jordan",mia,v. hou,4.3,3300.00
"Carrier, Derek",was,v. tam,3.5,2500.00
"Lewis, Marcedes",jac,v. buf,3.3,2500.00
"Rivera, Mychal",oak,@ sdg,3.1,2500.00
"Celek, Brent",phi,@ car,3.1,2500.00
"Dray, Jim",cle,@ stl,3,2500.00
"Cook, Jared",stl,v. cle,2.9,2800.00
"Cumberland, Jeff",nyj,@ nwe,2.6,2500.00
"Wright, Tim",det,v. min,2.3,2500.00
"Pruitt, MyCole",min,@ det,2.3,2500.00
"Smith, Lee",oak,@ sdg,2.1,2500.00
"Moeaki, Tony",atl,@ ten,2.1,2500.00
"Allen, Dwayne",ind,v. nor,2,2700.00
"Celek, Garrett",sfo,v. sea,1.8,2500.00
"Hanna, James",dal,@ nyg,1.6,2500.00
"Brate, Cameron",tam,@ was,1.6,2500.00
"Phillips, John",sdg,v. oak,1.5,2500.00
"Williams, Michael",nwe,v. nyj,1.4,2500.00
"Thomas, Julius",jac,v. buf,1.4,4500.00
"Harkey, Cory",stl,v. cle,1.4,2500.00
"O'Shaughnessy, James",kan,v. pit,1.2,2500.00
"McDonald, Vance",sfo,v. sea,1.1,2500.00
"Sims, Dion",mia,v. hou,0.7,2500.00
"Helfet, Cooper",sea,@ sfo,0,2500.00
"Burton, Trey",phi,@ car,0,2500.00
"Doyle, Jack",ind,v. nor,0,2500.00
"Mulligan, Matthew",buf,@ jac,0,2500.00
"Ellison, Rhett",min,@ det,0,2500.00
"Davis, Kellen",nyj,@ nwe,0,2500.00
"Niklas, Troy",ari,v. bal,0,2500.00
"Spaeth, Matt",pit,@ kan,0,2500.00
"Supernaw, Phillip",ten,v. atl,0,2500.00
"Jacobs, Nic",jac,v. buf,0,2500.00
"Harris, Demetrius",kan,v. pit,0,2500.00
"Escobar, Gavin",dal,@ nyg,0,2500.00
"Tye, Will",nyg,v. dal,0,2500.00
"Myers, Brandon",tam,@ was,0,2500.00
"Willson, Luke",sea,@ sfo,0,2500.00
"Dickson, Ed",car,v. phi,0,2500.00
"McCoy, Anthony",was,v. tam,0,2500.00
"Miller, Heath",pit,@ kan,0,2700.00
"Toilolo, Levine",atl,@ ten,0,2500.00
"Hill, Josh",nor,@ ind,0,2500.00
"Graham, Garrett",hou,@ mia,0,2500.00
"Stevens, Craig",ten,v. atl,0,2500.00
"Johnson, David",sdg,v. oak,0,2500.00
"Fiedorowicz, C.J.",hou,@ mia,0,2500.00
