Tight Ends ,Team,Opp. ,Points,Salary
"Barnidge, Gary",cle,@ bal,30.9,3800.00
"Gates, Antonio",sdg,v. pit,30.2,4200.00
"Eifert, Tyler",cin,v. sea,29,4600.00
"Tamme, Jacob",atl,v. was,17.4,2500.00
"Donnell, Larry",nyg,v. sfo,15.5,2900.00
"Celek, Brent",phi,v. nor,13.4,2500.00
"Watson, Ben",nor,@ phi,12.6,2500.00
"Celek, Garrett",sfo,@ nyg,11.6,2500.00
"Ertz, Zach",phi,v. nor,11,2900.00
"Carrier, Derek",was,@ atl,10.7,2500.00
"Gronkowski, Rob",nwe,@ dal,10.7,7500.00
"Rodgers, Richard",gnb,v. stl,10.5,2900.00
"Fells, Darren",ari,@ det,10.5,2500.00
"Green, Ladarius",sdg,v. pit,10,3200.00
"Tye, Will",nyg,v. sfo,8.8,2500.00
"Walker, Delanie",ten,v. buf,7.6,3800.00
"Miller, Heath",pit,@ sdg,7.6,3300.00
"Witten, Jason",dal,v. nwe,7.3,4500.00
"Bennett, Martellus",chi,@ kan,7.2,5000.00
"Kelce, Travis",kan,v. chi,6.5,5200.00
"Rivera, Mychal",oak,v. den,6.3,2500.00
"Graham, Jimmy",sea,@ cin,6,6100.00
"Pettigrew, Brandon",det,v. ari,5.9,2500.00
"Boyle, Nick",bal,v. cle,5.7,2500.00
"Myers, Brandon",tam,v. jac,5.4,2500.00
"Walford, Clive",oak,v. den,4.3,2500.00
"Wright, Tim",det,v. ari,4.2,2500.00
"Thomas, Julius",jac,@ tam,4,4500.00
"Willson, Luke",sea,@ cin,3.7,2500.00
"Kendricks, Lance",stl,@ gnb,3.6,2500.00
"Allen, Dwayne",ind,@ hou,3.1,2900.00
"Fleener, Coby",ind,@ hou,2.9,3200.00
"McDonald, Vance",sfo,@ nyg,2.9,2500.00
"Graham, Garrett",hou,v. ind,1.8,2500.00
"Cook, Jared",stl,@ gnb,1.8,3000.00
"Clay, Charles",buf,@ ten,1.7,4100.00
"Dray, Jim",cle,@ bal,1.7,2500.00
"Bell, Blake",sfo,@ nyg,1.6,2500.00
"Housler, Rob",cle,@ bal,1.6,2500.00
"Hoomanawanui, Michael",nor,@ phi,1.4,2500.00
"Fiedorowicz, C.J.",hou,v. ind,1.4,2500.00
"Stevens, Craig",ten,v. buf,1.1,2500.00
"Doyle, Jack",ind,@ hou,1,2500.00
"Williams, Maxx",bal,v. cle,1,3300.00
"Helfet, Cooper",sea,@ cin,0,2500.00
"Harris, Clark",cin,v. sea,0,2500.00
"Burton, Trey",phi,v. nor,0,2500.00
"Backman, Kennard",gnb,v. stl,0,2500.00
"Lee, Khari",chi,@ kan,0,2500.00
"Mulligan, Matthew",buf,@ ten,0,2500.00
"Niklas, Troy",ari,@ det,0,2500.00
"Spaeth, Matt",pit,@ sdg,0,2500.00
"Lewis, Marcedes",jac,@ tam,0,2900.00
"Williams, Michael",nwe,@ dal,0,2500.00
"Miller, Zach",chi,@ kan,0,2500.00
"Daniels, Owen",den,@ oak,0,2700.00
"O'Shaughnessy, James",kan,v. chi,0,2500.00
"Supernaw, Phillip",ten,v. buf,0,2500.00
"Swaim, Geoff",dal,v. nwe,0,2500.00
"Jacobs, Nic",jac,@ tam,0,2500.00
"Phillips, John",sdg,v. pit,0,2500.00
"Harris, Demetrius",kan,v. chi,0,2500.00
"Escobar, Gavin",dal,v. nwe,0,2500.00
"Green, Virgil",den,@ oak,0,2500.00
"Smith, Lee",oak,v. den,0,2500.00
"Fasano, Anthony",ten,v. buf,0,2500.00
"Gresham, Jermaine",ari,@ det,0,2500.00
"Kroft, Tyler",cin,v. sea,0,2500.00
"McCoy, Anthony",was,@ atl,0,2500.00
"Hewitt, Ryan",cin,v. sea,0,2500.00
"Gragg, Chris",buf,@ ten,0,2500.00
"Toilolo, Levine",atl,v. was,0,2500.00
"Hill, Josh",nor,@ phi,0,2500.00
"Harkey, Cory",stl,@ gnb,0,2500.00
"Chandler, Scott",nwe,@ dal,0,2500.00
"Johnson, David",sdg,v. pit,0,2500.00
"Brate, Cameron",tam,v. jac,0,2500.00
"Harbor, Clay",jac,@ tam,0,2500.00
