Quarterbacks ,Team,Opp. ,Points,Salary
"Rivers, Philip",sdg,v. cle,29.22,6100.00
"McCown, Josh",cle,@ sdg,26.24,5100.00
"Brees, Drew",nor,v. dal,25.36,7400.00
"Bradford, Sam",phi,@ was,24.2,6000.00
"Cousins, Kirk",was,v. phi,21.7,5400.00
"Dalton, Andy",cin,v. kan,21.44,5900.00
"Smith, Alex",kan,@ cin,20.94,5600.00
"Palmer, Carson",ari,v. stl,19.98,6800.00
"Manning, Eli",nyg,@ buf,19.28,7000.00
"Bortles, Blake",jac,@ ind,19.02,5100.00
"Foles, Nick",stl,@ ari,18.74,5100.00
"Cutler, Jay",chi,v. oak,18.24,5500.00
"Wilson, Russell",sea,v. det,17.48,7100.00
"Hoyer, Brian",hou,@ atl,17.28,5000.00
"Newton, Cam",car,@ tam,17.06,7000.00
"Winston, Jameis",tam,v. car,16.68,5100.00
"Rodgers, Aaron",gnb,@ sfo,16.26,7900.00
"Bridgewater, Teddy",min,@ den,16.06,5700.00
"Taylor, Tyrod",buf,v. nyg,15.46,5800.00
"Hasselbeck, Matt",ind,v. jac,15.38,5000.00
"Fitzpatrick, Ryan",nyj,@ mia,15.12,5100.00
"Carr, Derek",oak,@ chi,14.84,5300.00
"Weeden, Brandon",dal,@ nor,14.34,5100.00
"Tannehill, Ryan",mia,v. nyj,14.32,6200.00
"Ryan, Matt",atl,v. hou,14.14,6900.00
"Vick, Michael",pit,v. bal,12.26,5000.00
"Kaepernick, Colin",sfo,v. gnb,11.1,5500.00
"Manning, Peyton",den,v. min,10.32,7200.00
"Flacco, Joe",bal,@ pit,9.56,6000.00
"Stafford, Matthew",det,@ sea,8.12,5700.00
"Mallett, Ryan",hou,@ atl,5,5000.00
"McCown, Luke",nor,v. dal,0,5000.00
"Webb, Joe",car,@ tam,0,5000.00
"Renfree, Sean",atl,v. hou,-0.4,5000.00
