Quarterbacks ,Team,Opp. ,Points,Salary
"Cousins, Kirk",was,v. tam,34.18,5000.00
"Brady, Tom",nwe,v. nyj,32.7,8500.00
"Rivers, Philip",sdg,v. oak,30.44,6500.00
"Luck, Andrew",ind,v. nor,29.02,7600.00
"Tannehill, Ryan",mia,v. hou,27.58,5700.00
"Carr, Derek",oak,@ sdg,23.86,5300.00
"Bridgewater, Teddy",min,@ det,22.74,5100.00
"Hoyer, Brian",hou,@ mia,21.92,5300.00
"Fitzpatrick, Ryan",nyj,@ nwe,21.7,5200.00
"Manuel, E.J.",buf,@ jac,20.72,5100.00
"Winston, Jameis",tam,@ was,20.38,5100.00
"Palmer, Carson",ari,v. bal,19.2,6700.00
"Stafford, Matthew",det,v. min,18.74,5700.00
"Newton, Cam",car,v. phi,16.88,6600.00
"Flacco, Joe",bal,@ ari,15.08,5700.00
"Smith, Alex",kan,v. pit,14.54,5100.00
"Bortles, Blake",jac,v. buf,13.98,5400.00
"Wilson, Russell",sea,@ sfo,13.4,6500.00
"Brees, Drew",nor,@ ind,12.8,7000.00
"Ryan, Matt",atl,@ ten,11.74,7200.00
"McCown, Josh",cle,@ stl,10.9,5200.00
"Cassel, Matt",dal,@ nyg,10.48,5000.00
"Mettenberger, Zach",ten,v. atl,9.48,5000.00
"Jones, Landry",pit,@ kan,9.16,5100.00
"Bradford, Sam",phi,@ car,7.8,6100.00
"Manning, Eli",nyg,v. dal,6.4,6800.00
"Foles, Nick",stl,v. cle,6.32,5100.00
"Kaepernick, Colin",sfo,v. sea,4.96,5000.00
"Manziel, Johnny",cle,@ stl,1.58,5000.00
"McCown, Luke",nor,@ ind,1,5000.00
"Moore, Matt",mia,v. hou,0.36,5000.00
"Webb, Joe",car,v. phi,0,5000.00
