Defenses ,Team,Opp. ,Points,Salary
St. Louis Defense,stl,v. cle,25,2400.00
Jacksonville Defense,jac,v. buf,24,2400.00
New York G Defense,nyg,v. dal,22,2800.00
Seattle Defense,sea,@ sfo,13,3800.00
Kansas City Defense,kan,v. pit,12,2700.00
Miami Defense,mia,v. hou,12,2700.00
Buffalo Defense,buf,@ jac,10,3100.00
New Orleans Defense,nor,@ ind,10,2000.00
San Francisco Defense,sfo,v. sea,10,2100.00
Atlanta Defense,atl,@ ten,9,3300.00
Tampa Bay Defense,tam,@ was,8,2600.00
Carolina Defense,car,v. phi,8,3100.00
Arizona Defense,ari,v. bal,8,3600.00
Minnesota Defense,min,@ det,8,3000.00
Tennessee Defense,ten,v. atl,8,2600.00
Philadelphia Defense,phi,@ car,7,2700.00
Detroit Defense,det,v. min,7,2600.00
Cleveland Defense,cle,@ stl,5,2300.00
Oakland Defense,oak,@ sdg,4,2400.00
New England Defense,nwe,v. nyj,4,3200.00
Baltimore Defense,bal,@ ari,4,3000.00
Indianapolis Defense,ind,v. nor,4,2300.00
Washington Defense,was,v. tam,3,2500.00
New York J Defense,nyj,@ nwe,2,2900.00
Houston Defense,hou,@ mia,2,2900.00
Dallas Defense,dal,@ nyg,2,2500.00
Pittsburgh Defense,pit,@ kan,2,2600.00
San Diego Defense,sdg,v. oak,-3,2600.00
