Wide Receivers ,Team,Opp. ,Points,Salary
"Jackson, Vincent",tam,v. car,33.7,4900.00
"Hurns, Allen",jac,@ ind,31.6,3900.00
"Austin, Tavon",stl,@ ari,29.6,3700.00
"Maclin, Jeremy",kan,@ cin,28.8,5800.00
"Hopkins, DeAndre",hou,@ atl,27.7,7300.00
"Hankerson, Leonard",atl,v. hou,25.3,3700.00
"Marshall, Brandon",nyj,@ mia,22.8,6800.00
"Wallace, Mike",min,@ den,22.3,4400.00
"Shorts, Cecil",hou,@ atl,19.7,3500.00
"Stills, Kenny",mia,v. nyj,19.1,3000.00
"Aiken, Kamar",bal,@ pit,18.7,3300.00
"Garcon, Pierre",was,v. phi,18.5,5300.00
"Royal, Eddie",chi,v. oak,18.4,3700.00
"Thomas, Demaryius",den,v. min,18.3,8100.00
"Allen, Keenan",sdg,v. cle,17.2,7000.00
"Harris, Dwayne",nyg,@ buf,16.1,3000.00
"Fitzgerald, Larry",ari,v. stl,15.9,6500.00
"Ginn Jr., Ted",car,@ tam,15.8,3400.00
"Brown, John",ari,v. stl,15.8,5100.00
"Cooper, Riley",phi,@ was,15.2,3000.00
"Green, A.J.",cin,v. kan,15.2,7600.00
"Cooper, Amari",oak,@ chi,14.9,6300.00
"Snead, Willie",nor,v. dal,14.9,3000.00
"Jones, James",gnb,@ sfo,14.8,5300.00
"Diggs, Stefon",min,@ den,14.7,3000.00
"Decker, Eric",nyj,@ mia,14.6,4800.00
"Wilson, Marquess",chi,v. oak,14,3000.00
"Williams, Terrance",dal,@ nor,13.9,4500.00
"Benjamin, Travis",cle,@ sdg,13.9,4500.00
"Hilton, T.Y.",ind,v. jac,13.7,6700.00
"Moncrief, Donte",ind,v. jac,13.5,5000.00
"Crowder, Jamison",was,v. phi,13.5,3200.00
"Heyward-Bey, Darrius",pit,v. bal,13.1,3600.00
"Austin, Miles",phi,@ was,13.1,3000.00
"Crabtree, Michael",oak,@ chi,13,4600.00
"Thielen, Adam",min,@ den,13,3000.00
"Baldwin, Doug",sea,v. det,12.6,4200.00
"Tate, Brandon",cin,v. kan,12.5,3000.00
"Sanu, Mohamed",cin,v. kan,12.4,3100.00
"Beasley, Cole",dal,@ nor,12.2,3300.00
"Randle, Rueben",nyg,@ buf,12.1,4500.00
"Robinson, Allen",jac,@ ind,12,5500.00
"Inman, Dontrelle",sdg,v. cle,11.8,3000.00
"Johnson, Calvin",det,@ sea,11.6,7500.00
"Bailey, Stedman",stl,@ ari,11,3000.00
"Landry, Jarvis",mia,v. nyj,10.9,6500.00
"Floyd, Michael",ari,v. stl,10.9,3300.00
"Campanaro, Michael",bal,@ pit,10.5,3000.00
"Kearse, Jermaine",sea,v. det,10.4,3600.00
"Sanders, Emmanuel",den,v. min,9.8,7700.00
"Mumphery, Keith",hou,@ atl,9.6,3000.00
"Grant, Ryan",was,v. phi,9.5,3000.00
"Cobb, Randall",gnb,@ sfo,9.4,7400.00
"Bersin, Brenton",car,@ tam,9.4,3000.00
"Hogan, Chris",buf,v. nyg,9.3,3200.00
"Brown, Antonio",pit,v. bal,9.2,9200.00
"Lockett, Tyler",sea,v. det,8.9,3500.00
"Beckham Jr., Odell",nyg,@ buf,8.8,9100.00
"Agholor, Nelson",phi,@ was,8.4,4500.00
"Avant, Jason",kan,@ cin,8.3,3000.00
"Gabriel, Taylor",cle,@ sdg,8.2,3000.00
"Matthews, Jordan",phi,@ was,8,6600.00
"Jones, Julio",atl,v. hou,7.8,9300.00
"Butler, Brice",dal,@ nor,7.7,3000.00
"Smith, Torrey",sfo,v. gnb,7.4,4600.00
"Patton, Quinton",sfo,v. gnb,7.3,3000.00
"Conley, Chris",kan,@ cin,7.3,3000.00
"Johnson, Steve",sdg,v. cle,7.2,4400.00
"Tate, Golden",det,@ sea,6.5,5300.00
"Cooks, Brandin",nor,v. dal,6.5,6100.00
"Smith, Steve",bal,@ pit,6.4,6200.00
"Evans, Mike",tam,v. car,6.2,6400.00
"Colston, Marques",nor,v. dal,5.9,4500.00
"Murphy, Louis",tam,v. car,5.6,3200.00
"Harvin, Percy",buf,v. nyg,5.6,4600.00
"Montgomery, Ty",gnb,@ sfo,5.5,3000.00
"Woods, Robert",buf,v. nyg,5.3,3100.00
"Ross, Rashad",was,v. phi,5.3,3000.00
"Hawkins, Andrew",cle,@ sdg,4.7,3000.00
"Walters, Bryan",jac,@ ind,4.7,3000.00
"Jennings, Greg",mia,v. nyj,4.5,3000.00
"Boldin, Anquan",sfo,v. gnb,4.2,4800.00
"Moore, Lance",det,@ sea,4.1,3000.00
"Coleman, Brandon",nor,v. dal,4,3200.00
"Smith, Devin",nyj,@ mia,3.4,3000.00
"Dorsett, Phillip",ind,v. jac,3.1,3300.00
"Matthews, Chris",sea,v. det,3.1,3000.00
"Floyd, Malcom",sdg,v. cle,3,3700.00
"Brown, Jaron",ari,v. stl,3,3000.00
"Brown, Marlon",bal,@ pit,2.9,3000.00
"White, Roddy",atl,v. hou,2.8,4000.00
"Wheaton, Markus",pit,v. bal,2.8,3500.00
"Waller, Darren",bal,@ pit,2.7,3000.00
"Whalen, Griff",ind,v. jac,2.6,3000.00
"Matthews, Rishard",mia,v. nyj,2.6,4400.00
"Daniels, B.J.",sea,v. det,2.2,3000.00
"Fowler, Bennie",den,v. min,2.1,3000.00
"Coates, Sammie",pit,v. bal,2.1,3000.00
"Jones, Marvin",cin,v. kan,2,3800.00
"Patterson, Cordarrelle",min,@ den,1.9,3000.00
"Williams, Nick",atl,v. hou,1.8,3000.00
"Thomas, De'Anthony",kan,@ cin,1.7,3000.00
"Hartline, Brian",cle,@ sdg,1.7,3200.00
"Brown, Corey",car,@ tam,1.3,3200.00
"Washington, Tony",jac,@ ind,0.8,3000.00
"Mariani, Marc",chi,v. oak,0,3000.00
"Quick, Brian",stl,@ ari,0,3200.00
"Roberts, Seth",oak,@ chi,0,3000.00
"Moore, Marlon",cle,@ sdg,0,3000.00
"Easley, Marcus",buf,v. nyg,0,3000.00
"Huff, Josh",phi,@ was,0,3000.00
"Britt, Kenny",stl,@ ari,0,4200.00
"Jones, T.J.",det,@ sea,0,3000.00
"Golden, Brittan",ari,v. stl,0,3000.00
"Wright, Jarius",min,@ den,0,3000.00
"Weems, Eric",atl,v. hou,0,3000.00
"Lockette, Ricardo",sea,v. det,0,3000.00
"Davis, Geremy",nyg,@ buf,0,3000.00
"Ajirotutu, Seyi",phi,@ was,0,3000.00
"Fuller, Corey",det,@ sea,0,3000.00
"Latimer, Cody",den,v. min,0,3000.00
"Archer, Dri",pit,v. bal,0,3000.00
"Janis, Jeff",gnb,@ sfo,0,3000.00
"Kerley, Jeremy",nyj,@ mia,0,3000.00
"Caldwell, Andre",den,v. min,0,3000.00
"Meredith, Cameron",chi,v. oak,0,3000.00
"Holmes, Andre",oak,@ chi,0,3000.00
"Enunwa, Quincy",nyj,@ mia,0,3200.00
"Parker, DeVante",mia,v. nyj,0,3000.00
"Johnson, Andre",ind,v. jac,0,4500.00
"Hammond, Frankie",kan,@ cin,0,3000.00
"Bowe, Dwayne",cle,@ sdg,0,3300.00
"Street, Devin",dal,@ nor,0,3000.00
"Norwood, Jordan",den,v. min,0,3000.00
"Funchess, Devin",car,@ tam,0,3100.00
"Thigpen, Marcus",buf,v. nyg,0,3000.00
"Bellamy, Josh",chi,v. oak,0,3000.00
"Ellington, Bruce",sfo,v. gnb,0,3000.00
"Washington, Nate",hou,@ atl,0,3500.00
