Wide Receivers ,Team,Opp. ,Points,Salary
"Avant, Jason",kan,@ gnb,2.8,3000.00
"Roberts, Andre",was,@ nyg,2.8,3300.00
"Conley, Chris",kan,@ gnb,2.6,3200.00
"Moore, Marlon",cle,v. oak,2.5,3000.00
"Thomas, De'Anthony",kan,@ gnb,2.5,3000.00
"Givens, Chris",bal,v. cin,2.4,3000.00
"Funchess, Devin",car,v. nor,2.4,3100.00
"Lee, Marqise",jac,@ nwe,2.3,3400.00
"Floyd, Michael",ari,v. sfo,2.2,4000.00
"Jennings, Greg",mia,v. buf,2,3300.00
"Coleman, Brandon",nor,@ car,1.9,3700.00
"Johnson, Charles",min,v. sdg,1.9,4000.00
"Patton, Quinton",sfo,@ ari,1.7,3000.00
"Williams, Nick",atl,@ dal,1.6,3000.00
"Dobson, Aaron",nwe,v. jac,1.5,3000.00
"Brown, Corey",car,v. nor,1.2,3400.00
"Caldwell, Andre",den,@ det,1.2,3000.00
"Worthy, Chandler",hou,v. tam,0.9,3000.00
"Patterson, Cordarrelle",min,v. sdg,0.9,3000.00
"Mariani, Marc",chi,@ sea,0,3000.00
"Butler, Brice",dal,v. atl,0,3000.00
"Cooper, Riley",phi,@ nyj,0,3000.00
"Easley, Marcus",buf,@ mia,0,3000.00
"White, Roddy",atl,@ dal,0,5000.00
"Jones, T.J.",det,v. den,0,3000.00
"Golden, Brittan",ari,v. sfo,0,3000.00
"Wilson, Albert",kan,@ gnb,0,3000.00
"Weems, Eric",atl,@ dal,0,3000.00
"Agholor, Nelson",phi,@ nyj,0,5000.00
"Whalen, Griff",ind,@ ten,0,3000.00
"Davis, Geremy",nyg,v. was,0,3000.00
"Ajirotutu, Seyi",phi,@ nyj,0,3000.00
"Bailey, Stedman",stl,v. pit,0,3000.00
"Smith, Torrey",sfo,@ ari,0,5400.00
"Tate, Brandon",cin,@ bal,0,3000.00
"Aiken, Kamar",bal,v. cin,0,3400.00
"Latimer, Cody",den,@ det,0,3000.00
"Archer, Dri",pit,@ stl,0,3000.00
"Janis, Jeff",gnb,v. kan,0,3000.00
"Williams, Terrance",dal,v. atl,0,4600.00
"Adams, Davante",gnb,v. kan,0,5000.00
"Meredith, Cameron",chi,@ sea,0,3000.00
"Matthews, Chris",sea,v. chi,0,3000.00
"Waller, Darren",bal,v. cin,0,3000.00
"Inman, Dontrelle",sdg,@ min,0,3000.00
"Johnson, Andre",ind,@ ten,0,5500.00
"White, DeAndrew",sfo,@ ari,0,3000.00
"Coates, Sammie",pit,@ stl,0,3000.00
"Slater, Matthew",nwe,v. jac,0,3000.00
"Mumphery, Keith",hou,v. tam,0,3000.00
"Street, Devin",dal,v. atl,0,3000.00
"Brown, Jaron",ari,v. sfo,0,3000.00
"Thigpen, Marcus",buf,@ mia,0,3000.00
"Austin, Miles",phi,@ nyj,0,3000.00
"Bellamy, Josh",chi,@ sea,0,3100.00
"Wilson, Marquess",chi,@ sea,0,3200.00
"Stills, Kenny",mia,v. buf,0,3400.00
"Shepard, Russell",tam,@ hou,0,3000.00
"Harris, Dwayne",nyg,v. was,0,3000.00
