Wide Receivers ,Team,Opp. ,Points,Salary
"Green, A.J.",cin,@ bal,47.7,7200.00
"Smith, Steve",bal,v. cin,46.6,6300.00
"Jones, Julio",atl,@ dal,43.4,9000.00
"Allen, Keenan",sdg,@ min,40.3,6800.00
"Fitzgerald, Larry",ari,v. sfo,37.4,5800.00
"Cobb, Randall",gnb,v. kan,35.3,7300.00
"Matthews, Rishard",mia,v. buf,32.3,3800.00
"Maclin, Jeremy",kan,@ gnb,31.1,6000.00
"Jones, James",gnb,v. kan,29.9,4800.00
"Marshall, Brandon",nyj,v. phi,28.9,6200.00
"Randle, Rueben",nyg,v. was,27.6,4000.00
"Hopkins, DeAndre",hou,v. tam,27.1,7400.00
"Brown, Antonio",pit,@ stl,24.8,8900.00
"Wright, Kendall",ten,v. ind,23.8,5000.00
"Cooper, Amari",oak,@ cle,23.4,6200.00
"Thomas, Demaryius",den,@ det,23.2,8000.00
"Beckham Jr., Odell",nyg,v. was,20.9,9000.00
"Jones, Marvin",cin,@ bal,20.4,3600.00
"Britt, Kenny",stl,v. pit,20.2,3800.00
"Evans, Mike",tam,@ hou,20.1,6600.00
"Landry, Jarvis",mia,v. buf,16.6,6400.00
"Edelman, Julian",nwe,v. jac,16.5,7000.00
"Johnson, Calvin",det,v. den,15.7,7900.00
"Kerley, Jeremy",nyj,v. phi,15.3,3000.00
"Harvin, Percy",buf,@ mia,15.2,4400.00
"Hurns, Allen",jac,@ nwe,15,3700.00
"Amendola, Danny",nwe,v. jac,14.9,3300.00
"Cooks, Brandin",nor,@ car,14.9,7100.00
"Sanders, Emmanuel",den,@ det,14.7,7600.00
"Roberts, Seth",oak,@ cle,14.6,3000.00
"Hartline, Brian",cle,v. oak,14.6,3000.00
"Kearse, Jermaine",sea,v. chi,13.6,3500.00
"Benjamin, Travis",cle,v. oak,13.5,4200.00
"Hilton, T.Y.",ind,@ ten,13.4,6700.00
"Ginn Jr., Ted",car,v. nor,13.3,3300.00
"Hogan, Chris",buf,@ mia,13.2,3000.00
"Moncrief, Donte",ind,@ ten,13.2,4800.00
"Crowder, Jamison",was,@ nyg,12.5,3000.00
"Dorsett, Phillip",ind,@ ten,12.3,3300.00
"Martin, Keshawn",nwe,v. jac,12.3,3000.00
"Shorts, Cecil",hou,v. tam,11.8,3500.00
"Garcon, Pierre",was,@ nyg,11.4,5200.00
"Matthews, Jordan",phi,@ nyj,10.9,6900.00
"Robinson, Allen",jac,@ nwe,10.8,5200.00
"Tate, Golden",det,v. den,10.7,5700.00
"Ross, Rashad",was,@ nyg,10.7,3000.00
"Floyd, Malcom",sdg,@ min,10.3,3900.00
"Green-Beckham, Dorial",ten,v. ind,10.2,3300.00
"Enunwa, Quincy",nyj,v. phi,10,3000.00
"Snead, Willie",nor,@ car,9.4,3000.00
"Montgomery, Ty",gnb,v. kan,9.4,3000.00
"Brown, John",ari,v. sfo,9.2,5100.00
"Murphy, Louis",tam,@ hou,9.1,3200.00
"Fowler, Bennie",den,@ det,9,3000.00
"Beasley, Cole",dal,v. atl,8.9,3300.00
"Austin, Tavon",stl,v. pit,8.8,3700.00
"Colston, Marques",nor,@ car,8.7,5300.00
"Washington, Nate",hou,v. tam,8.2,3600.00
"Wallace, Mike",min,v. sdg,7.9,4700.00
"Woods, Robert",buf,@ mia,7.8,3300.00
"Crabtree, Michael",oak,@ cle,7.6,4600.00
"Parker, DeVante",mia,v. buf,7.6,3200.00
"Johnson, Steve",sdg,@ min,7.6,4300.00
"Hankerson, Leonard",atl,@ dal,7.5,3800.00
"Holmes, Andre",oak,@ cle,7.3,3000.00
"Smith, Devin",nyj,v. phi,6.9,3000.00
"Baldwin, Doug",sea,v. chi,6.5,4000.00
"Lockett, Tyler",sea,v. chi,6,3400.00
"Jackson, Vincent",tam,@ hou,6,5400.00
"Gabriel, Taylor",cle,v. oak,5.8,3000.00
"Wright, Jarius",min,v. sdg,5.8,3000.00
"Norwood, Jordan",den,@ det,5.7,3000.00
"Sanu, Mohamed",cin,@ bal,5.4,3300.00
"Douglas, Harry",ten,v. ind,5,3000.00
"Watkins, Sammy",buf,@ mia,4.9,6100.00
"Heyward-Bey, Darrius",pit,@ stl,4.9,3500.00
"Brown, Marlon",bal,v. cin,4.9,3000.00
"Walters, Bryan",jac,@ nwe,4.8,N/A
"Royal, Eddie",chi,@ sea,4.7,3700.00
"Campanaro, Michael",bal,v. cin,3.9,3000.00
"Hunter, Justin",ten,v. ind,3.9,3400.00
"Hawkins, Andrew",cle,v. oak,3.8,3300.00
"Wheaton, Markus",pit,@ stl,3.6,3700.00
"Boldin, Anquan",sfo,@ ari,3.6,5400.00
"Thielen, Adam",min,v. sdg,3.6,3000.00
"Lockette, Ricardo",sea,v. chi,3.3,3000.00
"Moore, Lance",det,v. den,3,3000.00
"Grant, Ryan",was,@ nyg,2.9,3000.00
