Wide Receivers ,Team,Opp. ,Points,Salary
"Jones, Marvin",cin,@ oak,3.9,4200.00
"Wright, Jarius",min,@ sfo,3.7,3000.00
"Robinson, Allen",jac,v. car,3.7,5400.00
"Walters, Bryan",jac,v. car,3.7,3000.00
"Hankerson, Leonard",atl,v. phi,3.6,3000.00
"Humphries, Adam",tam,v. ten,3.4,3000.00
"Smith, Steve",bal,@ den,3.3,6400.00
"Brown, Corey",car,@ jac,3.3,3000.00
"Moore, Lance",det,@ sdg,3.2,3000.00
"Floyd, Michael",ari,v. nor,2.8,5800.00
"Grant, Ryan",was,v. mia,2.5,3000.00
"Ellington, Bruce",sfo,v. min,2.5,3000.00
"Stills, Kenny",mia,@ was,2.2,4700.00
"Thomas, De'Anthony",kan,@ hou,2.1,3000.00
"Smith, Torrey",sfo,v. min,2.1,5900.00
"Hunter, Justin",ten,@ tam,2.1,4200.00
"Dobson, Aaron",nwe,v. pit,1.9,3000.00
"Funchess, Devin",car,@ jac,1.9,3800.00
"Royal, Eddie",chi,v. gnb,1.8,3900.00
"Matthews, Chris",sea,@ stl,1.8,3000.00
"Campanaro, Michael",bal,@ den,1.8,3000.00
"Streater, Rod",oak,v. cin,1.8,3000.00
"Brown, Jaron",ari,v. nor,1.8,3000.00
"Shepard, Russell",tam,v. ten,1.6,3000.00
"Agholor, Nelson",phi,@ atl,1.5,5700.00
"Williams, Nick",atl,v. phi,1.5,3000.00
"Crowder, Jamison",was,v. mia,1.2,3000.00
"Patterson, Cordarrelle",min,@ sfo,1.1,3000.00
"Caldwell, Andre",den,v. bal,1.1,3300.00
"Harris, Dwayne",nyg,@ dal,1.1,3000.00
"Aiken, Kamar",bal,@ den,0.9,3300.00
"Mariani, Marc",chi,v. gnb,0,3000.00
"Watkins, Sammy",buf,v. ind,0,7000.00
"Murphy, Louis",tam,v. ten,0,3000.00
"Moore, Marlon",cle,@ nyj,0,3000.00
"Hogan, Chris",buf,v. ind,0,3000.00
"Fowler, Bennie",den,v. bal,0,3000.00
"Easley, Marcus",buf,v. ind,0,3000.00
"Jackson, DeSean",was,v. mia,0,6800.00
"Avant, Jason",kan,@ hou,0,3000.00
"Givens, Chris",bal,@ den,0,3000.00
"Weems, Eric",atl,v. phi,0,3000.00
"Nelson, J.J.",ari,v. nor,0,3000.00
"Jones, Seantavius",nor,@ ari,0,3000.00
"Lockette, Ricardo",sea,@ stl,0,3000.00
"Whalen, Griff",ind,@ buf,0,3000.00
"Patton, Quinton",sfo,v. min,0,3000.00
"Davis, Geremy",nyg,@ dal,0,3000.00
"Ajirotutu, Seyi",phi,@ atl,0,3000.00
"Conley, Chris",kan,@ hou,0,3800.00
"Tate, Brandon",cin,@ oak,0,3000.00
"Fuller, Corey",det,@ sdg,0,3000.00
"Latimer, Cody",den,v. bal,0,3700.00
"Archer, Dri",pit,@ nwe,0,3300.00
"Janis, Jeff",gnb,@ chi,0,3000.00
"Kerley, Jeremy",nyj,v. cle,0,3000.00
"Green-Beckham, Dorial",ten,@ tam,0,3900.00
"Holmes, Andre",oak,v. cin,0,3000.00
"Enunwa, Quincy",nyj,v. cle,0,3000.00
"Parker, DeVante",mia,@ was,0,4100.00
"Street, Devin",dal,v. nyg,0,3000.00
"Thielen, Adam",min,@ sfo,0,3000.00
"Montgomery, Ty",gnb,@ chi,0,3000.00
"Thigpen, Marcus",buf,v. ind,0,3000.00
"Bellamy, Josh",chi,v. gnb,0,3000.00
"Jones, Jacoby",sdg,v. det,0,3000.00
