Wide Receivers ,Team,Opp. ,Points,Salary
"Jones, Julio",atl,v. phi,38.1,9300.00
"Allen, Keenan",sdg,v. det,34.6,7100.00
"Hopkins, DeAndre",hou,v. kan,32.8,7400.00
"Brown, Antonio",pit,@ nwe,31.3,8900.00
"Matthews, Jordan",phi,@ atl,23.2,7200.00
"Wright, Kendall",ten,@ tam,23.1,5100.00
"Edelman, Julian",nwe,v. pit,21.6,6600.00
"Jones, James",gnb,@ chi,21.1,4200.00
"Landry, Jarvis",mia,@ was,20.7,5600.00
"Johnson, Steve",sdg,v. det,20.2,3700.00
"Harvin, Percy",buf,v. ind,19.8,4400.00
"Washington, Nate",hou,v. kan,19.5,3000.00
"Marshall, Brandon",nyj,v. cle,18.2,6600.00
"Benjamin, Travis",cle,@ nyj,17.9,3000.00
"Moncrief, Donte",ind,@ buf,16.6,3000.00
"Greene, Rashad",jac,v. car,15.8,3000.00
"Hilton, T.Y.",ind,@ buf,15.8,7600.00
"Kearse, Jermaine",sea,@ stl,15.6,3700.00
"Austin, Tavon",stl,v. sea,15.5,3300.00
"Cobb, Randall",gnb,@ chi,14.8,8000.00
"Fitzgerald, Larry",ari,v. nor,14.7,5500.00
"Brown, John",ari,v. nor,14.6,4500.00
"Cotchery, Jerricho",car,@ jac,14.5,3000.00
"Sanders, Emmanuel",den,v. bal,14.5,7900.00
"Coleman, Brandon",nor,@ ari,14.1,3000.00
"Lockett, Tyler",sea,@ stl,13.4,3000.00
"Matthews, Rishard",mia,@ was,13.4,3000.00
"Garcon, Pierre",was,v. mia,13.4,5200.00
"Thomas, Demaryius",den,v. bal,13,9100.00
"Jeffery, Alshon",chi,v. gnb,12.8,8300.00
"White, Roddy",atl,v. phi,12.4,6500.00
"Wallace, Mike",min,@ sfo,12.3,6000.00
"Decker, Eric",nyj,v. cle,11.7,6000.00
"Green, A.J.",cin,@ oak,11.3,7800.00
"Williams, Terrance",dal,v. nyg,11,4000.00
"Wheaton, Markus",pit,@ nwe,10.5,3800.00
"Baldwin, Doug",sea,@ stl,10.5,4600.00
"Douglas, Harry",ten,@ tam,10.4,3000.00
"Maclin, Jeremy",kan,@ hou,10.2,6900.00
"Hurns, Allen",jac,v. car,10,4000.00
"Adams, Davante",gnb,@ chi,9.9,4400.00
"Heyward-Bey, Darrius",pit,@ nwe,9.8,3000.00
"Bryant, Dez",dal,v. nyg,9.8,8700.00
"Shorts, Cecil",hou,v. kan,9.7,3600.00
"Cooper, Amari",oak,v. cin,9.7,6700.00
"Owusu, Chris",nyj,v. cle,9.5,3000.00
"Beckham Jr., Odell",nyg,@ dal,9.4,9200.00
"Cooks, Brandin",nor,@ ari,9.3,7100.00
"Jackson, Vincent",tam,v. ten,9.1,6000.00
"Bailey, Stedman",stl,v. sea,8.8,3000.00
"Crabtree, Michael",oak,v. cin,8.7,4400.00
"Beasley, Cole",dal,v. nyg,7.9,3400.00
"Wilson, Marquess",chi,v. gnb,7.9,3500.00
"Boldin, Anquan",sfo,v. min,7.6,6200.00
"Ginn Jr., Ted",car,@ jac,7.4,3000.00
"Roberts, Andre",was,v. mia,6.6,3200.00
"Tate, Golden",det,@ sdg,6.4,6300.00
"Johnson, Andre",ind,@ buf,6.4,6100.00
"Colston, Marques",nor,@ ari,5.9,6000.00
"Johnson, Calvin",det,@ sdg,5.9,8500.00
"Jennings, Greg",mia,@ was,5.9,4300.00
"Britt, Kenny",stl,v. sea,5.7,4800.00
"Cooper, Riley",phi,@ atl,5.5,3000.00
"Dorsett, Phillip",ind,@ buf,5.5,3600.00
"Wilson, Albert",kan,@ hou,5.5,3000.00
"Hawkins, Andrew",cle,@ nyj,5.4,3500.00
"Sanu, Mohamed",cin,@ oak,5.4,3300.00
"Randle, Rueben",nyg,@ dal,5.3,5100.00
"Woods, Robert",buf,v. ind,4.7,3500.00
"Johnson, Charles",min,@ sfo,4.7,4900.00
"Parker, Preston",nyg,@ dal,4.6,3000.00
"Brown, Marlon",bal,@ den,4.5,3000.00
"Norwood, Jordan",den,v. bal,4.5,3000.00
"Amendola, Danny",nwe,v. pit,4.4,3700.00
"Mumphery, Keith",hou,v. kan,4.3,3000.00
"Roberts, Seth",oak,v. cin,4.2,3000.00
"Austin, Miles",phi,@ atl,4.2,3000.00
"Gabriel, Taylor",cle,@ nyj,4,3000.00
"Hartline, Brian",cle,@ nyj,4,3300.00
"Huff, Josh",phi,@ atl,3.9,3000.00
"Floyd, Malcom",sdg,v. det,3.9,5300.00
