Wide Receivers ,Team,Opp. ,Points,Salary
"Whitehead, Lucky",dal,@ nyg,3.5,3000.00
"Tate, Golden",det,v. min,3.4,5200.00
"Coleman, Brandon",nor,@ ind,3.4,3000.00
"Avant, Jason",kan,v. pit,3.1,3000.00
"Johnson, Charles",min,@ det,3.1,3000.00
"Colston, Marques",nor,@ ind,3,3400.00
"Funchess, Devin",car,v. phi,3,3000.00
"Mumphery, Keith",hou,@ mia,2.6,3000.00
"Huff, Josh",phi,@ car,2.5,3200.00
"Cotchery, Jerricho",car,v. phi,2.3,3000.00
"Jackson, Vincent",tam,@ was,2.3,5300.00
"Dorsett, Phillip",ind,v. nor,1.8,3000.00
"Bailey, Stedman",stl,v. cle,1.8,3000.00
"Floyd, Malcom",sdg,v. oak,1.7,3600.00
"Smith, Devin",nyj,@ nwe,1.7,3000.00
"Roberts, Seth",oak,@ sdg,1.6,3200.00
"Aiken, Kamar",bal,@ ari,1.6,4400.00
"Walters, Bryan",jac,v. buf,1.5,3000.00
"Brown, Jaron",ari,v. bal,1.3,3000.00
"Patton, Quinton",sfo,v. sea,1.2,3000.00
"Ross, Jeremy",bal,@ ari,0.9,3000.00
"Quick, Brian",stl,v. cle,0,3000.00
"Cooper, Riley",phi,@ car,0,3000.00
"Moore, Marlon",cle,@ stl,0,3000.00
"Heyward-Bey, Darrius",pit,@ kan,0,3100.00
"Jones, T.J.",det,v. min,0,3000.00
"Golden, Brittan",ari,v. bal,0,3000.00
"Weems, Eric",atl,@ ten,0,3000.00
"Nelson, J.J.",ari,v. bal,0,3000.00
"Lockette, Ricardo",sea,@ sfo,0,3000.00
"Patterson, Cordarrelle",min,@ det,0,3000.00
"Davis, Geremy",nyg,v. dal,0,3000.00
"Strong, Jaelen",hou,@ mia,0,3000.00
"Ajirotutu, Seyi",phi,@ car,0,3000.00
"Smith, Torrey",sfo,v. sea,0,4200.00
"Hankerson, Leonard",atl,@ ten,0,4200.00
"Fuller, Corey",det,v. min,0,3000.00
"Archer, Dri",pit,@ kan,0,3000.00
"White, Myles",nyg,v. dal,0,3000.00
"Green-Beckham, Dorial",ten,v. atl,0,3200.00
"Holmes, Andre",oak,@ sdg,0,3000.00
"Matthews, Chris",sea,@ sfo,0,3000.00
"Waller, Darren",bal,@ ari,0,3000.00
"Bersin, Brenton",car,v. phi,0,3000.00
"Parker, DeVante",mia,v. hou,0,3000.00
"Moore, Lance",det,v. min,0,3500.00
"Coates, Sammie",pit,@ kan,0,3000.00
"Slater, Matthew",nwe,v. nyj,0,3000.00
"Hammond, Frankie",kan,v. pit,0,3000.00
"Ross, Rashad",was,v. tam,0,3000.00
"Moore, Denarius",buf,@ jac,0,3000.00
"Jones, Jacoby",sdg,v. oak,0,3000.00
"Stills, Kenny",mia,v. hou,0,3000.00
"Ellington, Bruce",sfo,v. sea,0,3000.00
"Beasley, Cole",dal,@ nyg,-1,3200.00
"Whalen, Griff",ind,v. nor,-1,3000.00
