Wide Receivers ,Team,Opp. ,Points,Salary
"Washington, Nate",hou,@ mia,36.7,3000.00
"Hilton, T.Y.",ind,v. nor,34,6500.00
"Evans, Mike",tam,@ was,33.4,6400.00
"Cooper, Amari",oak,@ sdg,27.3,6500.00
"Diggs, Stefon",min,@ det,26.7,4200.00
"Landry, Jarvis",mia,v. hou,25.8,6200.00
"Jones, Julio",atl,@ ten,24.2,9100.00
"Woods, Robert",buf,@ jac,23.4,3300.00
"Amendola, Danny",nwe,v. nyj,22.6,3500.00
"Brown, Antonio",pit,@ kan,22,7900.00
"Robinson, Allen",jac,v. buf,21.8,6400.00
"Johnson, Calvin",det,v. min,19.6,7700.00
"Lockett, Tyler",sea,@ sfo,18.9,3200.00
"Crabtree, Michael",oak,@ sdg,18.3,4300.00
"Conley, Chris",kan,v. pit,18.3,3000.00
"Allen, Keenan",sdg,v. oak,17.9,7700.00
"Brown, John",ari,v. bal,16.5,5500.00
"Matthews, Rishard",mia,v. hou,16.5,4300.00
"Decker, Eric",nyj,@ nwe,15.4,5300.00
"Ginn Jr., Ted",car,v. phi,15.2,3300.00
"Floyd, Michael",ari,v. bal,14.9,3200.00
"Bryant, Martavis",pit,@ kan,14.8,4700.00
"Wright, Kendall",ten,v. atl,14.6,5200.00
"Cooks, Brandin",nor,@ ind,14.1,5500.00
"Moncrief, Donte",ind,v. nor,13.4,5200.00
"Hurns, Allen",jac,v. buf,13.3,5300.00
"Easley, Marcus",buf,@ jac,12.8,3000.00
"Smith, Steve",bal,@ ari,12.8,6200.00
"Harris, Dwayne",nyg,v. dal,12.3,3300.00
"Kerley, Jeremy",nyj,@ nwe,11.7,3000.00
"Hogan, Chris",buf,@ jac,11.6,3300.00
"Hopkins, DeAndre",hou,@ mia,11,8600.00
"Williams, Terrance",dal,@ nyg,11,4200.00
"Marshall, Brandon",nyj,@ nwe,10.7,7800.00
"Garcon, Pierre",was,v. tam,10.5,5000.00
"Edelman, Julian",nwe,v. nyj,10.4,8200.00
"Austin, Tavon",stl,v. cle,10.4,4500.00
"Wilson, Albert",kan,v. pit,10.1,3000.00
"Crowder, Jamison",was,v. tam,9.8,3700.00
"Street, Devin",dal,@ nyg,9.5,3000.00
"Kearse, Jermaine",sea,@ sfo,9.4,3600.00
"Austin, Miles",phi,@ car,9.2,3000.00
"Johnson, Steve",sdg,v. oak,9,3500.00
"Randle, Rueben",nyg,v. dal,8.8,4400.00
"Johnson, Andre",ind,v. nor,8.4,4300.00
"Roberts, Andre",was,v. tam,7.9,3000.00
"White, Roddy",atl,@ ten,7.8,3600.00
"Benjamin, Travis",cle,@ stl,7.7,5400.00
"Dye, Donteea",tam,@ was,7.7,3000.00
"Wallace, Mike",min,@ det,7.6,4200.00
"Beckham Jr., Odell",nyg,v. dal,7.5,8700.00
"Williams, Nick",atl,@ ten,7.3,3000.00
"Fitzgerald, Larry",ari,v. bal,6.9,7400.00
"Boldin, Anquan",sfo,v. sea,6.9,4500.00
"Brown, Corey",car,v. phi,6.8,3000.00
"Butler, Brice",dal,@ nyg,6.1,3000.00
"Wright, Jarius",min,@ det,6.1,3000.00
"Jennings, Greg",mia,v. hou,5.7,3000.00
"Snead, Willie",nor,@ ind,5.5,4300.00
"Hartline, Brian",cle,@ stl,5.2,3000.00
"Brown, Marlon",bal,@ ari,5.2,3000.00
"Britt, Kenny",stl,v. cle,5.1,3700.00
"Inman, Dontrelle",sdg,v. oak,4.6,3000.00
"Gabriel, Taylor",cle,@ stl,4.5,3000.00
"Thomas, De'Anthony",kan,v. pit,4.5,3000.00
"Owusu, Chris",nyj,@ nwe,4.5,3000.00
"Matthews, Jordan",phi,@ car,4.4,6400.00
"Hawkins, Andrew",cle,@ stl,4.1,3000.00
"Thielen, Adam",min,@ det,4,3000.00
"Murphy, Louis",tam,@ was,3.9,3000.00
"Baldwin, Doug",sea,@ sfo,3.9,4100.00
"Dobson, Aaron",nwe,v. nyj,3.8,3000.00
"Hunter, Justin",ten,v. atl,3.7,3000.00
"Wheaton, Markus",pit,@ kan,3.6,3000.00
"Givens, Chris",bal,@ ari,3.5,3000.00
