Wide Receivers ,Team,Opp. ,Points,Salary
"Wheaton, Markus",pit,v. sfo,8.7,3800.00
"Hilton, T.Y.",ind,v. nyj,8.5,7200.00
"Adams, Davante",gnb,v. sea,8.3,4900.00
"Green-Beckham, Dorial",ten,@ cle,8.3,3300.00
"Roberts, Seth",oak,v. bal,8.2,3000.00
"Holmes, Andre",oak,v. bal,8,3000.00
"Montgomery, Ty",gnb,v. sea,7.7,3000.00
"Grant, Ryan",was,v. stl,7.5,3000.00
"Hawkins, Andrew",cle,v. ten,7.3,3300.00
"Wallace, Mike",min,v. det,6.8,5400.00
"Meredith, Cameron",chi,v. ari,6.6,3000.00
"Patton, Quinton",sfo,@ pit,6.5,3000.00
"Coleman, Brandon",nor,v. tam,6.3,3300.00
"Agholor, Nelson",phi,v. dal,6.1,5500.00
"Lee, Marqise",jac,v. mia,5.9,3700.00
"Johnson, Andre",ind,v. nyj,5.7,5800.00
"Wright, Jarius",min,v. det,5.6,3000.00
"Austin, Tavon",stl,@ was,5.6,3500.00
"Beasley, Cole",dal,@ phi,5.4,3300.00
"Hunter, Justin",ten,@ cle,5.4,3400.00
"Parker, Preston",nyg,v. atl,4.7,3000.00
"Norwood, Jordan",den,@ kan,4.4,3000.00
"Amendola, Danny",nwe,@ buf,4.2,3300.00
"Huff, Josh",phi,v. dal,4,3000.00
"Johnson, Charles",min,v. det,4,4800.00
"White, DeAndrew",sfo,@ pit,3.8,3000.00
"Lockett, Tyler",sea,@ gnb,3.7,3400.00
"Wright, Kendall",ten,@ cle,3.7,5000.00
"Enunwa, Quincy",nyj,@ ind,3.7,3000.00
"Dorsett, Phillip",ind,v. nyj,3.5,3300.00
"Moore, Lance",det,@ min,3.4,3000.00
"Brown, Marlon",bal,@ oak,3.2,3200.00
"Thomas, De'Anthony",kan,v. den,3,3000.00
"Street, Devin",dal,@ phi,2.8,3000.00
"Stills, Kenny",mia,@ jac,2.8,4100.00
"Greene, Rashad",jac,v. mia,2.7,3500.00
"Allen, Keenan",sdg,@ cin,2.6,7100.00
"Sanu, Mohamed",cin,v. sdg,2.5,3300.00
"Funchess, Devin",car,v. hou,2.5,3300.00
"Matthews, Chris",sea,@ gnb,2.3,3000.00
"Williams, Nick",atl,@ nyg,2.2,3000.00
"Cotchery, Jerricho",car,v. hou,2.1,3300.00
"Hogan, Chris",buf,v. nwe,2.1,3000.00
"Wilson, Marquess",chi,v. ari,2,3400.00
"Givens, Chris",bal,@ oak,1.7,3000.00
"Crowder, Jamison",was,v. stl,1.7,3000.00
"Caldwell, Andre",den,@ kan,1.6,3000.00
"Davis, Geremy",nyg,v. atl,1.5,3000.00
"Randle, Rueben",nyg,v. atl,1.5,4700.00
"Douglas, Harry",ten,@ cle,1.3,3000.00
"Parker, DeVante",mia,@ jac,1.3,3700.00
"Bailey, Stedman",stl,@ was,1,3000.00
"Roberts, Andre",was,v. stl,1,3300.00
"Gabriel, Taylor",cle,v. ten,0.7,3000.00
"Mariani, Marc",chi,v. ari,0,3000.00
"Butler, Brice",dal,@ phi,0,3000.00
"Cooper, Riley",phi,v. dal,0,3000.00
"Moore, Marlon",cle,v. ten,0,3000.00
"Floyd, Michael",ari,@ chi,0,4800.00
"Evans, Mike",tam,@ nor,0,7400.00
"Fowler, Bennie",den,@ kan,0,3000.00
"Easley, Marcus",buf,v. nwe,0,3000.00
"White, Roddy",atl,@ nyg,0,5800.00
"Wilson, Albert",kan,v. den,0,3000.00
"Avant, Jason",kan,v. den,0,3000.00
"Norwood, Kevin",car,v. hou,0,3000.00
"Weems, Eric",atl,@ nyg,0,3000.00
"Lockette, Ricardo",sea,@ gnb,0,3000.00
"Kearse, Jermaine",sea,@ gnb,0,3600.00
"Patterson, Cordarrelle",min,v. det,0,3000.00
"Whalen, Griff",ind,v. nyj,0,3000.00
"Conley, Chris",kan,v. den,0,3400.00
"Tate, Brandon",cin,v. sdg,0,3000.00
"Fuller, Corey",det,@ min,0,3000.00
"Latimer, Cody",den,@ kan,0,3300.00
"Archer, Dri",pit,v. sfo,0,3000.00
"Humphries, Adam",tam,@ nor,0,3000.00
"Janis, Jeff",gnb,v. sea,0,3000.00
"Kerley, Jeremy",nyj,@ ind,0,3000.00
"Hartline, Brian",cle,v. ten,0,3000.00
"Owusu, Chris",nyj,@ ind,0,3000.00
"Campanaro, Michael",bal,@ oak,0,3000.00
"Inman, Dontrelle",sdg,@ cin,0,3000.00
"Slater, Matthew",nwe,@ buf,0,3000.00
"Ross, Rashad",was,v. stl,0,3000.00
"Mumphery, Keith",hou,@ car,0,3000.00
"Bowe, Dwayne",cle,v. ten,0,3900.00
"Murphy, Tyler",pit,v. sfo,0,3000.00
"Thielen, Adam",min,v. det,0,3000.00
"Thigpen, Marcus",buf,v. nwe,0,3000.00
"Austin, Miles",phi,v. dal,0,3000.00
"Jennings, Greg",mia,@ jac,0,3900.00
"Shepard, Russell",tam,@ nor,0,3000.00
"Harris, Dwayne",nyg,v. atl,0,3000.00
"Nelson, J.J.",ari,@ chi,-1,3000.00
