Wide Receivers ,Team,Opp. ,Points,Salary
"Fitzgerald, Larry",ari,@ chi,40.2,5400.00
"Brown, Antonio",pit,v. sfo,39.5,8800.00
"Robinson, Allen",jac,v. mia,36.5,4900.00
"Benjamin, Travis",cle,v. ten,35.5,3400.00
"Edelman, Julian",nwe,@ buf,33.9,6700.00
"Beckham Jr., Odell",nyg,v. atl,30.6,8800.00
"Jones, Julio",atl,@ nyg,29.5,8900.00
"Crabtree, Michael",oak,v. bal,29.1,4100.00
"Smith, Torrey",sfo,@ pit,29,5400.00
"Sanders, Emmanuel",den,@ kan,28.7,7600.00
"Moncrief, Donte",ind,v. nyj,28.2,4600.00
"Smith, Steve",bal,@ oak,28,6000.00
"Cooper, Amari",oak,v. bal,26.9,6400.00
"Marshall, Brandon",nyj,@ ind,26.1,6400.00
"Johnson, Calvin",det,@ min,24.3,8200.00
"Decker, Eric",nyj,@ ind,23.7,5100.00
"Landry, Jarvis",mia,@ jac,22.6,5900.00
"Thomas, Demaryius",den,@ kan,22.6,8400.00
"Cobb, Randall",gnb,v. sea,22.6,7400.00
"Baldwin, Doug",sea,@ gnb,22.2,4200.00
"Matthews, Rishard",mia,@ jac,20.5,3000.00
"Matthews, Jordan",phi,v. dal,20,7100.00
"Hankerson, Leonard",atl,@ nyg,19.7,3000.00
"Williams, Terrance",dal,@ phi,18.4,4200.00
"Watkins, Sammy",buf,v. nwe,18,6200.00
"Boldin, Anquan",sfo,@ pit,18,5700.00
"Heyward-Bey, Darrius",pit,v. sfo,17.7,3300.00
"Dobson, Aaron",nwe,@ buf,15.7,3000.00
"Johnson, Steve",sdg,@ cin,15.5,4200.00
"Woods, Robert",buf,v. nwe,15,3100.00
"Brown, Corey",car,v. hou,14.7,3000.00
"Jackson, Vincent",tam,@ nor,14.4,5500.00
"Garcon, Pierre",was,v. stl,14.3,5000.00
"Ginn Jr., Ted",car,v. hou,14.1,3100.00
"Tate, Golden",det,@ min,14,6300.00
"Floyd, Malcom",sdg,@ cin,13.5,4400.00
"Green, A.J.",cin,v. sdg,13.5,7500.00
"Snead, Willie",nor,v. tam,13.4,3000.00
"Jones, Marvin",cin,v. sdg,13.1,3600.00
"Aiken, Kamar",bal,@ oak,12.9,3000.00
"Britt, Kenny",stl,@ was,12.4,4100.00
"Bellamy, Josh",chi,v. ari,11.8,3000.00
"Murphy, Louis",tam,@ nor,11.2,3000.00
"Royal, Eddie",chi,v. ari,11.1,3700.00
"Colston, Marques",nor,v. tam,10.9,5400.00
"Hurns, Allen",jac,v. mia,10.8,3800.00
"Cooks, Brandin",nor,v. tam,10.8,7000.00
"Hopkins, DeAndre",hou,@ car,10.3,7400.00
"Brown, Jaron",ari,@ chi,10,3000.00
"Jones, James",gnb,v. sea,9.9,4700.00
"Brown, John",ari,@ chi,9.5,5100.00
"Shorts, Cecil",hou,@ car,9.4,3300.00
"Harvin, Percy",buf,v. nwe,9.4,4500.00
"Washington, Nate",hou,@ car,9.3,3600.00
"Maclin, Jeremy",kan,v. den,9.2,6500.00
