Running Backs ,Team,Opp. ,Points,Salary
"Miller, Lamar",mia,v. hou,41.6,4600.00
"Gurley, Todd",stl,v. cle,35.3,5000.00
"Woodhead, Danny",sdg,v. oak,33.1,4600.00
"Foster, Arian",hou,@ mia,29.5,7500.00
"McFadden, Darren",dal,@ nyg,27.2,3100.00
"Ingram, Mark",nor,@ ind,25.8,6300.00
"West, Charcandrick",kan,v. pit,23.9,4200.00
"Martin, Doug",tam,@ was,23.1,4900.00
"Yeldon, T.J.",jac,v. buf,22.4,4500.00
"Lynch, Marshawn",sea,@ sfo,21.2,6900.00
"Johnson, Chris",ari,v. bal,21.2,4300.00
"Mathews, Ryan",phi,@ car,21.1,3200.00
"Bell, Le'Veon",pit,@ kan,20.7,8400.00
"Freeman, Devonta",atl,@ ten,18,7900.00
"Robinson, Khiry",nor,@ ind,16.1,3000.00
"Johnson, Duke",cle,@ stl,16,4200.00
"Murray, Latavius",oak,@ sdg,15.6,6100.00
"Stewart, Jonathan",car,v. phi,15.5,4000.00
"Tolbert, Mike",car,v. phi,14.8,3000.00
"Peterson, Adrian",min,@ det,14,7600.00
"Forsett, Justin",bal,@ ari,13.4,6100.00
"Oliver, Branden",sdg,v. oak,13.4,3000.00
"McCoy, LeSean",buf,@ jac,13.4,5500.00
"Ivory, Chris",nyj,@ nwe,13.3,5800.00
"McCluster, Dexter",ten,v. atl,12.8,3200.00
"Gore, Frank",ind,v. nor,12.5,4900.00
"Juszczyk, Kyle",bal,@ ari,11.5,3000.00
"Darkwa, Orleans",nyg,v. dal,10.8,3000.00
"Spiller, C.J.",nor,@ ind,10.8,3300.00
"Murray, DeMarco",phi,@ car,9,6400.00
"Sproles, Darren",phi,@ car,9,3800.00
"Jones, Matt",was,v. tam,8.1,3200.00
"Ellington, Andre",ari,v. bal,7.9,4300.00
"Riddick, Theo",det,v. min,7.8,3400.00
"Sims, Charles",tam,@ was,7.6,3600.00
"Jackson, Fred",sea,@ sfo,7.5,3000.00
"Vereen, Shane",nyg,v. dal,7.2,4300.00
"Jones, Taiwan",oak,@ sdg,7.2,3000.00
"Gray, Jonas",mia,v. hou,6.8,3000.00
"Bush, Reggie",sfo,v. sea,6.4,3500.00
"Line, Zach",min,@ det,6.1,3000.00
"Rawls, Thomas",sea,@ sfo,6.1,4800.00
"White, James",nwe,v. nyj,6,3000.00
"Turbin, Robert",cle,@ stl,5.8,3000.00
"Andrews, Antonio",ten,v. atl,5.7,3300.00
"Bohanon, Tommy",nyj,@ nwe,5.6,3000.00
"Bell, Joique",det,v. min,5.5,3100.00
"McKinnon, Jerick",min,@ det,4.7,3000.00
"Reece, Marcel",oak,@ sdg,4.5,3000.00
"Allen, Javorius",bal,@ ari,4.5,3500.00
"Cunningham, Benny",stl,v. cle,4.4,3300.00
"Johnson, David",ari,v. bal,4.4,3500.00
"Abdullah, Ameer",det,v. min,4.3,4000.00
"Stacy, Zac",nyj,@ nwe,4,3000.00
"Hyde, Carlos",sfo,v. sea,4,4600.00
"Williams, Damien",mia,v. hou,3.9,3000.00
"Polk, Chris",hou,@ mia,3.8,3000.00
"Michael, Christine",dal,@ nyg,3,3000.00
"Gordon, Melvin",sdg,v. oak,2.9,4200.00
"Williams, DeAngelo",pit,@ kan,2.7,3200.00
"Asiata, Matt",min,@ det,2.5,3000.00
"Randle, Joseph",dal,@ nyg,2.4,5500.00
"Bradshaw, Ahmad",ind,v. nor,2.3,3000.00
"Herron, Dan",buf,@ jac,2.2,3000.00
"Jennings, Rashad",nyg,v. dal,1.9,4000.00
"Ward, Terron",atl,@ ten,1.7,3000.00
"Morris, Alfred",was,v. tam,1.7,3300.00
"Coleman, Tevin",atl,@ ten,1.4,3600.00
"Rainey, Bobby",tam,@ was,1.4,3000.00
"Williams, Andre",nyg,v. dal,1.3,3000.00
"Crowell, Isaiah",cle,@ stl,0.9,3800.00
"Ware, Spencer",kan,v. pit,0.8,3000.00
"Gerhart, Toby",jac,v. buf,0.8,3200.00
"Blue, Alfred",hou,@ mia,0.8,3300.00
"Olawale, Jamize",oak,@ sdg,0.4,3000.00
"Helu, Roy",oak,@ sdg,0.3,3000.00
"Davis, Knile",kan,v. pit,0.2,4000.00
"Young, Darrel",was,v. tam,0.1,3000.00
"Sankey, Bishop",ten,v. atl,0,3400.00
"Mostert, Raheem",bal,@ ari,0,3000.00
"Tukuafu, Will",sea,@ sfo,0,3000.00
"Burton, Michael",det,v. min,0,3000.00
"Miller, Bruce",sfo,v. sea,0,3000.00
"Artis-Payne, Cameron",car,v. phi,0,3000.00
"Davis, Mike",sfo,v. sea,0,3000.00
"Johnson, Will",pit,@ kan,0,3000.00
"Robinson, Denard",jac,v. buf,0,3000.00
"Todman, Jordan",pit,@ kan,0,3000.00
"Brown, Donald",sdg,v. oak,0,3000.00
"Murphy, Marcus",nor,@ ind,0,3000.00
"Reynolds, Chase",stl,v. cle,0,3000.00
"Taylor, Stepfan",ari,v. bal,0,3000.00
"Sherman, Anthony",kan,v. pit,0,3000.00
"Lane, Jorvorskie",tam,@ was,0,3000.00
"Nix, Roosevelt",pit,@ kan,0,3000.00
