Running Backs ,Team,Opp. ,Points,Salary
"Felton, Jerome",buf,@ jac,0,3000.00
"Tipton, Zurlon",ind,v. nor,0,3000.00
"DiMarco, Patrick",atl,@ ten,0,3000.00
"Clutts, Tyler",dal,@ nyg,0,3000.00
"Whittaker, Fozzy",car,v. phi,0,3000.00
"Fowler, Jalston",ten,v. atl,0,3000.00
"Dixon, Anthony",buf,@ jac,0,3000.00
"Grimes, Jonathan",hou,@ mia,0,3000.00
"Pierce, Bernard",jac,v. buf,0,3000.00
"Johnson, Malcolm",cle,@ stl,0,3000.00
"Prosch, Jay",hou,@ mia,0,3000.00
"Blount, LeGarrette",nwe,v. nyj,-0.3,4800.00
