Running Backs ,Team,Opp. ,Points,Salary
"Freeman, Devonta",atl,v. hou,37.9,5200.00
"Bell, Le'Veon",pit,v. bal,31,7700.00
"Martin, Doug",tam,v. car,28.3,4400.00
"Johnson, Duke",cle,@ sdg,26.6,3100.00
"Ivory, Chris",nyj,@ mia,25.6,4800.00
"Hill, Jeremy",cin,v. kan,24,6500.00
"Spiller, C.J.",nor,v. dal,21.9,3900.00
"Gurley, Todd",stl,@ ari,21.1,4300.00
"Hillman, Ronnie",den,v. min,20.8,4700.00
"Charles, Jamaal",kan,@ cin,20.5,7600.00
"Peterson, Adrian",min,@ den,19.4,7800.00
"Ingram, Mark",nor,v. dal,18.8,6000.00
"Forte, Matt",chi,v. oak,18.5,7100.00
"Forsett, Justin",bal,@ pit,18,6000.00
"Woodhead, Danny",sdg,v. cle,17.8,4600.00
"Jennings, Rashad",nyg,@ buf,17.2,4200.00
"Johnson, David",ari,v. stl,17.1,4200.00
"Williams, Karlos",buf,v. nyg,16,3400.00
"Ward, Terron",atl,v. hou,16,3000.00
"Yeldon, T.J.",jac,@ ind,15.9,4400.00
"Crowell, Isaiah",cle,@ sdg,15.5,4100.00
"Sims, Charles",tam,v. car,14.3,3600.00
"Polk, Chris",hou,@ atl,14,3300.00
"Gore, Frank",ind,v. jac,12.7,4700.00
"Johnson, Chris",ari,v. stl,12.4,4500.00
"Bernard, Giovani",cin,v. kan,12.2,5000.00
"Helu, Roy",oak,@ chi,11.5,3000.00
"Stacy, Zac",nyj,@ mia,10.5,3000.00
"Lacy, Eddie",gnb,@ sfo,10.3,6900.00
"Robinson, Khiry",nor,v. dal,10.1,3000.00
"Thompson, Chris",was,v. phi,9.7,3500.00
"Riddick, Theo",det,@ sea,8.6,3000.00
"Randle, Joseph",dal,@ nor,8.6,5500.00
"Morris, Alfred",was,v. phi,8.5,4100.00
"Murray, Latavius",oak,@ chi,8.1,6300.00
"Anderson, C.J.",den,v. min,8,5900.00
"Kuhn, John",gnb,@ sfo,7.9,3000.00
"Jackson, Fred",sea,v. det,7.4,3000.00
"Murray, DeMarco",phi,@ was,6.8,6500.00
"Gordon, Melvin",sdg,v. cle,6.6,4900.00
"Abdullah, Ameer",det,@ sea,6.4,4100.00
"Starks, James",gnb,@ sfo,5.9,3800.00
"Rawls, Thomas",sea,v. det,5.7,3000.00
"Foster, Arian",hou,@ atl,5.5,7000.00
"Williams, Andre",nyg,@ buf,5.5,3100.00
"Dunbar, Lance",dal,@ nor,5.4,3600.00
"Stewart, Jonathan",car,@ tam,5,4700.00
"Miller, Lamar",mia,v. nyj,4.6,4700.00
"Dixon, Anthony",buf,v. nyg,4,3000.00
"Burkhead, Rex",cin,v. kan,3.7,3000.00
"Reece, Marcel",oak,@ chi,3.6,3000.00
"Taliaferro, Lorenzo",bal,@ pit,3.4,3000.00
"Hyde, Carlos",sfo,v. gnb,3.2,5100.00
"West, Charcandrick",kan,@ cin,3.1,3000.00
"McFadden, Darren",dal,@ nor,3.1,3600.00
"Artis-Payne, Cameron",car,@ tam,2.5,3000.00
"Cunningham, Benny",stl,@ ari,2.4,3400.00
"Zenner, Zach",det,@ sea,2.3,3000.00
"Powell, Bilal",nyj,@ mia,2.2,3700.00
"Vereen, Shane",nyg,@ buf,2.1,4300.00
"Whittaker, Fozzy",car,@ tam,2,3000.00
"Allen, Javorius",bal,@ pit,1.9,3000.00
"Blue, Alfred",hou,@ atl,1.7,3900.00
"Sproles, Darren",phi,@ was,1.7,4500.00
"Bush, Reggie",sfo,v. gnb,1.6,3800.00
"Draughn, Shaun",cle,@ sdg,1.5,3000.00
"Clutts, Tyler",dal,@ nor,1.4,3000.00
"Burton, Michael",det,@ sea,1.3,3000.00
"Juszczyk, Kyle",bal,@ pit,1.3,3000.00
"Williams, Damien",mia,v. nyj,1.1,3000.00
"Jones, Matt",was,v. phi,1.1,4500.00
"Mathews, Ryan",phi,@ was,1,3800.00
"Tolbert, Mike",car,@ tam,0.7,3000.00
"McKinnon, Jerick",min,@ den,0.6,3000.00
"Williams, DeAngelo",pit,v. bal,0.5,4600.00
"Langford, Jeremy",chi,v. oak,0.4,3000.00
"Rodgers, Jacquizz",chi,v. oak,0.3,3000.00
"Asiata, Matt",min,@ den,0.3,3000.00
"Harris, Alonzo",gnb,@ sfo,0,3000.00
"Tukuafu, Will",sea,v. det,0,3000.00
"Miller, Bruce",sfo,v. gnb,0,3000.00
"Line, Zach",min,@ den,0,3000.00
"Darkwa, Orleans",nyg,@ buf,0,3000.00
"Hayne, Jarryd",sfo,v. gnb,0,3000.00
"Grant, Corey",jac,@ ind,0,3000.00
"Johnson, Will",pit,v. bal,0,3000.00
"Young, Darrel",was,v. phi,0,3000.00
"Todman, Jordan",pit,v. bal,0,3000.00
"Murphy, Marcus",nor,v. dal,0,3000.00
"Barner, Kenjon",phi,@ was,0,3000.00
"Gray, Jonas",mia,v. nyj,0,3000.00
"Taylor, Stepfan",ari,v. stl,0,3000.00
"Bohanon, Tommy",nyj,@ mia,0,3000.00
"Sherman, Anthony",kan,@ cin,0,3000.00
"Rainey, Bobby",tam,v. car,0,3000.00
"Lane, Jorvorskie",tam,v. car,0,3000.00
"Nix, Roosevelt",pit,v. bal,0,3000.00
"Johnson, Austin",nor,v. dal,0,3000.00
"Felton, Jerome",buf,v. nyg,0,3000.00
"Thompson, Juwan",den,v. min,0,3000.00
"Oliver, Branden",sdg,v. cle,0,3000.00
"DiMarco, Patrick",atl,v. hou,0,3000.00
"Peerman, Cedric",cin,v. kan,0,3000.00
"Coleman, Derrick",sea,v. det,0,3000.00
"Davis, Knile",kan,@ cin,0,3000.00
"Ripkowski, Aaron",gnb,@ sfo,0,3000.00
"Pierce, Bernard",jac,@ ind,0,3000.00
"Johnson, Malcolm",cle,@ sdg,0,3000.00
"Prosch, Jay",hou,@ atl,0,3000.00
"Michael, Christine",dal,@ nor,-0.1,3000.00
"Mason, Tre",stl,@ ari,-0.1,4000.00
"Olawale, Jamize",oak,@ chi,-0.1,3000.00
"Gerhart, Toby",jac,@ ind,-0.2,3000.00
"Robinson, Josh",ind,v. jac,-0.8,3200.00
