Running Backs ,Team,Opp. ,Points,Salary
"Freeman, Devonta",atl,@ dal,45.3,4600.00
"Charles, Jamaal",kan,@ gnb,31.2,7400.00
"Johnson, Chris",ari,v. sfo,31,4000.00
"Randle, Joseph",dal,v. atl,30.5,5100.00
"Blount, LeGarrette",nwe,v. jac,28.2,4000.00
"Peterson, Adrian",min,v. sdg,27.6,7500.00
"Bell, Le'Veon",pit,@ stl,26.2,7500.00
"Murray, Latavius",oak,@ cle,24.9,5800.00
"Dunbar, Lance",dal,v. atl,23.5,3200.00
"Blue, Alfred",hou,v. tam,22.9,3600.00
"Mathews, Ryan",phi,@ nyj,22.8,3300.00
"Thompson, Chris",was,@ nyg,22.6,3000.00
"Gore, Frank",ind,@ ten,22.4,4500.00
"Ingram, Mark",nor,@ car,20.9,5900.00
"Williams, Karlos",buf,@ mia,20,3200.00
"Sproles, Darren",phi,@ nyj,19.6,3800.00
"Lewis, Dion",nwe,v. jac,17.7,4200.00
"Riddick, Theo",det,v. den,14.6,3100.00
"Powell, Bilal",nyj,v. phi,14.5,3000.00
"Rawls, Thomas",sea,v. chi,13.4,3000.00
"Sims, Charles",tam,@ hou,13.2,3400.00
"Andrews, Antonio",ten,v. ind,13.1,3000.00
"Abdullah, Ameer",det,v. den,12.2,4500.00
"Lacy, Eddie",gnb,v. kan,11.7,7200.00
"Bernard, Giovani",cin,@ bal,11.3,4700.00
"Robinson, Khiry",nor,@ car,10,3000.00
"McCoy, LeSean",buf,@ mia,9.6,6100.00
"Miller, Lamar",mia,v. buf,9.5,5200.00
"McFadden, Darren",dal,v. atl,9.5,4000.00
"Johnson, Duke",cle,v. oak,9.5,3400.00
"Williams, Andre",nyg,v. was,8.9,3200.00
"Jennings, Rashad",nyg,v. was,8.7,4700.00
"Hillman, Ronnie",den,@ det,8.6,5300.00
"Grimes, Jonathan",hou,v. tam,7.8,3100.00
"Forte, Matt",chi,@ sea,7.4,7300.00
"White, James",nwe,v. jac,7.4,3300.00
"Bell, Joique",det,v. den,7.4,4200.00
"Tolbert, Mike",car,v. nor,7.4,3000.00
"Woodhead, Danny",sdg,@ min,7.3,4400.00
"Hyde, Carlos",sfo,@ ari,7.1,5400.00
"Johnson, David",ari,v. sfo,7.1,4000.00
"Forsett, Justin",bal,v. cin,6.9,6000.00
"Fowler, Jalston",ten,v. ind,6.9,3000.00
"Reece, Marcel",oak,@ cle,6.6,3200.00
"Yeldon, T.J.",jac,@ nwe,6.2,4400.00
"Sankey, Bishop",ten,v. ind,6.1,4600.00
"Line, Zach",min,v. sdg,6.1,3000.00
"Starks, James",gnb,v. kan,6.1,3000.00
"Murphy, Marcus",nor,@ car,6,3000.00
"Stewart, Jonathan",car,v. nor,5.2,4900.00
"McCluster, Dexter",ten,v. ind,5.2,3000.00
"Gordon, Melvin",sdg,@ min,5.1,5000.00
"Cunningham, Benny",stl,v. pit,5,4000.00
"Spiller, C.J.",nor,@ car,4.6,4800.00
"Martin, Doug",tam,@ hou,4.6,5100.00
"Jackson, Fred",sea,v. chi,4.2,3000.00
"Mason, Tre",stl,v. pit,4.1,4300.00
"Anderson, C.J.",den,@ det,3.7,6200.00
"Crowell, Isaiah",cle,v. oak,3.6,4500.00
"Asiata, Matt",min,v. sdg,3.5,3000.00
"Lynch, Marshawn",sea,v. chi,3.3,7400.00
"Williams, Damien",mia,v. buf,3.2,3000.00
"Rodgers, Jacquizz",chi,@ sea,3.1,3000.00
"Juszczyk, Kyle",bal,v. cin,3.1,3000.00
"Jones, Matt",was,@ nyg,2.8,4000.00
"Oliver, Branden",sdg,@ min,2.6,3000.00
"Gurley, Todd",stl,v. pit,2.4,4700.00
"Grant, Corey",jac,@ nwe,2.4,3000.00
"Whittaker, Fozzy",car,v. nor,2.4,3000.00
"Pierce, Bernard",jac,@ nwe,2.4,3000.00
"Prosch, Jay",hou,v. tam,2.4,3000.00
"Vereen, Shane",nyg,v. was,2.3,4300.00
"Helu, Roy",oak,@ cle,2.2,3000.00
"Davis, Mike",sfo,@ ari,2.1,3200.00
"Stacy, Zac",nyj,v. phi,2.1,3000.00
"Hill, Jeremy",cin,@ bal,2.1,7300.00
"Morris, Alfred",was,@ nyg,1.9,4700.00
"McKinnon, Jerick",min,v. sdg,1.8,3000.00
"Harris, Alonzo",gnb,v. kan,1.7,3000.00
"Jones, Taiwan",oak,@ cle,1.6,3000.00
"Taliaferro, Lorenzo",bal,v. cin,1.6,3000.00
"DiMarco, Patrick",atl,@ dal,1.4,3000.00
"Allen, Javorius",bal,v. cin,1.2,3100.00
"Draughn, Shaun",cle,v. oak,1.2,3000.00
"Thompson, Juwan",den,@ det,1.1,3000.00
"Gerhart, Toby",jac,@ nwe,1,3000.00
"Robinson, Josh",ind,@ ten,0.8,3000.00
"Artis-Payne, Cameron",car,v. nor,0.6,3000.00
"Taylor, Stepfan",ari,v. sfo,0.6,3000.00
"Polk, Chris",hou,v. tam,0.5,3400.00
"Johnson, Austin",nor,@ car,0.4,3000.00
"Young, Darrel",was,@ nyg,0.2,3000.00
"Williams, DeAngelo",pit,@ stl,0.2,4400.00
"Tukuafu, Will",sea,v. chi,0,3000.00
"Burton, Michael",det,v. den,0,3000.00
"Carey, Ka'Deem",chi,@ sea,0,3000.00
"Varga, Tyler",ind,@ ten,0,3000.00
"Kuhn, John",gnb,v. kan,0,3000.00
"Burkhead, Rex",cin,@ bal,0,3000.00
"Miller, Bruce",sfo,@ ari,0,3000.00
"Darkwa, Orleans",nyg,v. was,0,3000.00
"Hayne, Jarryd",sfo,@ ari,0,3000.00
"Johnson, Will",pit,@ stl,0,3000.00
"Ward, Terron",atl,@ dal,0,3000.00
"Todman, Jordan",pit,@ stl,0,3000.00
"Barner, Kenjon",phi,@ nyj,0,3000.00
"West, Charcandrick",kan,@ gnb,0,3000.00
"Bohanon, Tommy",nyj,v. phi,0,3000.00
"Sherman, Anthony",kan,@ gnb,0,3000.00
"Bolden, Brandon",nwe,v. jac,0,3000.00
"Langford, Jeremy",chi,@ sea,0,3000.00
"Rainey, Bobby",tam,@ hou,0,3000.00
"Lane, Jorvorskie",tam,@ hou,0,3000.00
"Zenner, Zach",det,v. den,0,3000.00
"Nix, Roosevelt",pit,@ stl,0,3000.00
"Felton, Jerome",buf,@ mia,0,3000.00
"Peerman, Cedric",cin,@ bal,0,3000.00
"Clutts, Tyler",dal,v. atl,0,3000.00
"Coleman, Derrick",sea,v. chi,0,3000.00
"Davis, Knile",kan,@ gnb,0,3000.00
"Ripkowski, Aaron",gnb,v. kan,0,3000.00
"Johnson, Malcolm",cle,v. oak,0,3000.00
"Dixon, Anthony",buf,@ mia,-0.1,3000.00
