"","Position","Name","Salary","AvgPointsPerGame","AvgRecYardsPerGame","RecTDs","AvgPassYardsPerGame","PassTDs","AvgRushYardsPerGame","RushTDs"
"671","WR","DeAndre Carter",3000,0,NA,NA,NA,NA,NA,NA
"672","WR","Jeret Smith",3000,0,NA,NA,NA,NA,NA,NA
"673","WR","Chandler Worthy",3000,0,NA,NA,NA,NA,NA,NA
"674","WR","Brittan Golden",3000,0,NA,NA,NA,NA,NA,NA
"675","RB","Daryl Richardson",3000,0,NA,NA,NA,NA,NA,NA
"676","WR","Tyrell Williams",3000,0,NA,NA,NA,NA,NA,NA
"677","WR","Isaac Fruechte",3000,0,NA,NA,NA,NA,NA,NA
"678","WR","Deontay Greenberry",3000,0,NA,NA,NA,NA,NA,NA
"679","RB","Paul Lasike",3000,0,NA,NA,NA,NA,NA,NA
"680","RB","Marion Grice",3000,2.373,2.9,0,0,0,4.1,1
"681","WR","Marquez Clark",3000,0,NA,NA,NA,NA,NA,NA
"682","WR","Kasey Closs",3000,0,NA,NA,NA,NA,NA,NA
"683","RB","Tyler Varga",3000,0,NA,NA,NA,NA,NA,NA
"684","WR","Cordarrelle Patterson",3000,6.069,24,1,NA,NA,7.3,1
"685","RB","Trey Williams",3000,0,NA,NA,NA,NA,NA,NA
"686","RB","Duke Johnson Jr.",3000,0,NA,NA,NA,NA,NA,NA
"687","RB","Abou Toure",3000,0,NA,NA,NA,NA,NA,NA
"688","WR","Cam Worthy",3000,0,NA,NA,NA,NA,NA,NA
"689","WR","Demetrius Wilson",3000,0,NA,NA,NA,NA,NA,NA
"690","WR","Stefon Diggs",3000,0,NA,NA,NA,NA,NA,NA
"691","WR","Daniel Rodriguez",3000,0,NA,NA,NA,NA,NA,NA
"692","WR","Kenny Cook",3000,0,NA,NA,NA,NA,NA,NA
"693","WR","Isiah Ferguson",3000,0,NA,NA,NA,NA,NA,NA
"694","WR","Seth Roberts",3000,0,NA,NA,NA,NA,NA,NA
"695","RB","John Crockett",3000,0,NA,NA,NA,NA,NA,NA
"696","WR","Jonathon Rumph",3000,0,NA,NA,NA,NA,NA,NA
"697","WR","Lucky Whitehead",3000,0,NA,NA,NA,NA,NA,NA
"698","WR","Adam Thielen",3000,1.731,8.6,1,NA,NA,NA,NA
"699","RB","Khiry Robinson",3000,6.65,6.3,0,NA,NA,36.2,3
"700","WR","Braylon Bell",3000,0,NA,NA,NA,NA,NA,NA
"701","WR","Damond Powell",3000,0,NA,NA,NA,NA,NA,NA
"702","WR","Javess Blue",3000,0,NA,NA,NA,NA,NA,NA
"703","WR","Mario Alford",3000,0,NA,NA,NA,NA,NA,NA
"704","WR","DeAndre Smelter",3000,0,NA,NA,NA,NA,NA,NA
"705","WR","Vince Mayle",3000,0,NA,NA,NA,NA,NA,NA
"706","WR","Taylor Gabriel",3000,6.569,38.8,1,NA,NA,0.6,0
"707","RB","Charcandrick West",3000,0,0,0,NA,NA,NA,NA
"708","WR","Paul Browning",3000,0,NA,NA,NA,NA,NA,NA
"709","WR","Gavin Lutman",3000,0,NA,NA,NA,NA,NA,NA
"710","WR","Corey Washington",3000,1.157,3.7,1,NA,NA,NA,NA
"711","WR","Jeff Janis",3000,1.2,5.3,0,NA,NA,NA,NA
"712","WR","Torrence Allen",3000,0,NA,NA,NA,NA,NA,NA
"713","WR","Seantavius Jones",3000,0,NA,NA,NA,NA,NA,NA
"714","WR","Ricky Collins",3000,0,NA,NA,NA,NA,NA,NA
"715","WR","Vernon Johnson",3000,0,NA,NA,NA,NA,NA,NA
"716","WR","Tello Luckett",3000,0,NA,NA,NA,NA,NA,NA
"717","WR","Rasheed Bailey",3000,0,NA,NA,NA,NA,NA,NA
"718","WR","Trevor Harman",3000,0,NA,NA,NA,NA,NA,NA
"719","WR","Joshua Stangby",3000,0,NA,NA,NA,NA,NA,NA
"720","WR","Tyler Rutenbeck",3000,0,NA,NA,NA,NA,NA,NA
"721","RB","Rasheed Williams",3000,0,NA,NA,NA,NA,NA,NA
"722","RB","Terrell Watson",3000,0,NA,NA,NA,NA,NA,NA
"723","RB","Luke Lundy",3000,0,NA,NA,NA,NA,NA,NA
"724","WR","Donteea Dye",3000,0,NA,NA,NA,NA,NA,NA
"725","WR","Austin Willis",3000,0,NA,NA,NA,NA,NA,NA
"726","RB","Desmond Martin",3000,0,NA,NA,NA,NA,NA,NA
"727","DST","Bills ",2900,10.938,NA,NA,NA,NA,NA,NA
"728","DST","Colts ",2900,7.737,NA,NA,NA,NA,NA,NA
"729","DST","Jets ",2900,4.688,NA,NA,NA,NA,NA,NA
"730","TE","Jared Cook",2900,8.338,39.6,3,NA,NA,0,0
"731","TE","Eric Ebron",2900,4.35,19.1,1,NA,NA,NA,NA
"732","DST","Cowboys ",2800,7.389,NA,NA,NA,NA,NA,NA
"733","DST","Broncos ",2800,7.353,NA,NA,NA,NA,NA,NA
"734","DST","Lions ",2800,8.235,NA,NA,NA,NA,NA,NA
"735","DST","Titans ",2800,5.063,NA,NA,NA,NA,NA,NA
"736","DST","Rams ",2800,9.563,NA,NA,NA,NA,NA,NA
"737","DST","Vikings ",2800,8,NA,NA,NA,NA,NA,NA
"738","DST","Cardinals ",2800,8.941,NA,NA,NA,NA,NA,NA
"739","DST","Chargers ",2800,6.438,NA,NA,NA,NA,NA,NA
"740","DST","49ers ",2800,7.938,NA,NA,NA,NA,NA,NA
"741","DST","Buccaneers ",2800,6.625,NA,NA,NA,NA,NA,NA
"742","TE","David Johnson",2800,0.1,0.3,0,NA,NA,NA,NA
"743","TE","Jermaine Gresham",2800,9.2,30.7,5,NA,NA,NA,NA
"744","TE","Jace Amaro",2800,6.036,24.6,2,NA,NA,NA,NA
"745","DST","Falcons ",2700,6.438,NA,NA,NA,NA,NA,NA
"746","DST","Saints ",2700,4.313,NA,NA,NA,NA,NA,NA
"747","DST","Eagles ",2700,11.813,NA,NA,NA,NA,NA,NA
"748","DST","Jaguars ",2700,6.938,NA,NA,NA,NA,NA,NA
"749","DST","Ravens ",2700,8.833,NA,NA,NA,NA,NA,NA
"750","TE","Mychal Rivera",2700,8.588,33.4,4,NA,NA,NA,NA
"751","TE","Clive Walford",2700,0,NA,NA,NA,NA,NA,NA
"752","TE","Maxx Williams",2700,0,NA,NA,NA,NA,NA,NA
"753","DST","Redskins ",2600,4.063,NA,NA,NA,NA,NA,NA
"754","TE","Jacob Tamme",2600,2.244,7.3,2,NA,NA,NA,NA
"755","TE","Benjamin Watson",2600,2.85,8.5,2,NA,NA,NA,NA
"756","DST","Giants ",2500,6.938,NA,NA,NA,NA,NA,NA
"757","TE","Daniel Fells",2500,3.613,11.8,4,NA,NA,NA,NA
"758","TE","Craig Stevens",2500,0.92,5.2,0,NA,NA,NA,NA
"759","TE","Dante Rosario",2500,1.788,7.2,0,NA,NA,NA,NA
"760","TE","Marcedes Lewis",2500,6.325,25.8,2,NA,NA,NA,NA
"761","TE","Anthony Fasano",2500,4.773,15.1,4,NA,NA,NA,NA
"762","TE","Brent Celek",2500,4.625,21.2,1,NA,NA,NA,NA
"763","TE","Zach Miller",2500,0,25.3,0,NA,NA,NA,NA
"764","TE","Dennis Pitta",2500,9.5,41.7,0,NA,NA,NA,NA
"765","TE","Brandon Pettigrew",2500,1.273,5,0,NA,NA,NA,NA
"766","TE","Kellen Davis",2500,0,0,0,NA,NA,NA,NA
"767","TE","Brandon Myers",2500,2.929,13.6,0,NA,NA,NA,NA
"768","TE","Darren Fells",2500,1.745,7.1,0,NA,NA,NA,NA
"769","TE","Bear Pascoe",2500,0.519,0.2,1,NA,NA,NA,NA
"770","TE","Kevin Brock",2500,0.587,1.5,0,NA,NA,NA,NA
"771","TE","Gary Barnidge",2500,2.2,12,0,NA,NA,NA,NA
"772","TE","Tony Moeaki",2500,3.914,22.3,1,NA,NA,NA,NA
"773","TE","Clay Harbor",2500,4.685,22.2,1,NA,NA,NA,NA
"774","TE","Ed Dickson",2500,2.067,7.2,1,NA,NA,NA,NA
"775","TE","Logan Paulsen",2500,1.613,4.9,1,NA,NA,NA,NA
"776","TE","Garrett Graham",2500,3.973,17.9,1,NA,NA,NA,NA
"777","TE","Richie Brockel",2500,0,NA,NA,NA,NA,NA,NA
"778","TE","David Ausberry",2500,0.567,2.3,0,NA,NA,NA,NA
"779","TE","Anthony McCoy",2500,0,NA,NA,NA,NA,NA,NA
"780","TE","Jim Dray",2500,2.95,15.1,1,NA,NA,NA,NA
"781","TE","Virgil Green",2500,1.507,5.7,1,NA,NA,0.2,0
"782","TE","John Phillips",2500,0.444,0.1,1,NA,NA,NA,NA
"783","TE","Ryan Taylor",2500,0,NA,NA,NA,NA,NA,NA
"784","TE","Richard Gordon",2500,0,0,0,NA,NA,NA,NA
"785","TE","Rob Housler",2500,1.375,8.6,0,NA,NA,0.1,0
"786","TE","Matthew Mulligan",2500,0,NA,NA,NA,NA,NA,NA
"787","TE","Mickey Shuler",2500,0,0,0,NA,NA,NA,NA
"788","TE","Lance Kendricks",2500,5.181,16.2,5,NA,NA,NA,NA
"789","TE","Jeff Cumberland",2500,4.106,15.4,3,NA,NA,NA,NA
"790","TE","Lee Smith",2500,1.229,3,1,NA,NA,NA,NA
"791","TE","Luke Stocker",2500,0.854,3.2,0,NA,NA,NA,NA
"792","TE","Steve Maneri",2500,0,0,0,NA,NA,NA,NA
"793","TE","Konrad Reuland",2500,0,NA,NA,NA,NA,NA,NA
"794","TE","Andrew Quarless",2500,5.133,20.2,3,NA,NA,NA,NA
"795","TE","Sean McGrath",2500,0,NA,NA,NA,NA,NA,NA
"796","TE","James Casey",2500,1.306,3.7,2,NA,NA,NA,NA
"797","TE","Adrien Robinson",2500,1,3.1,1,NA,NA,NA,NA
"798","TE","Rhett Ellison",2500,2.988,13,1,NA,NA,NA,NA
"799","TE","Ifeanyi Momah",2500,0,NA,NA,NA,NA,NA,NA
"800","TE","Allen Reisner",2500,0,NA,NA,NA,NA,NA,NA
"801","TE","Emil Igwenagu",2500,0,NA,NA,NA,NA,NA,NA
"802","TE","Garrett Celek",2500,2.433,17.7,0,NA,NA,NA,NA
"803","TE","Jamie Childers",2500,0,NA,NA,NA,NA,NA,NA
"804","TE","Evan Rodriguez",2500,0,NA,NA,NA,NA,NA,NA
"805","TE","Niles Paul",2500,5.919,31.7,1,NA,NA,NA,NA
"806","TE","Dave Paulson",2500,0,NA,NA,NA,NA,NA,NA
"807","TE","James Hanna",2500,0.489,3,0,NA,NA,NA,NA
"808","TE","Jake Stoneburner",2500,0,NA,NA,NA,NA,NA,NA
"809","TE","Joe Don Duncan",2500,0,NA,NA,NA,NA,NA,NA
"810","TE","Taylor Thompson",2500,1.467,8,0,NA,NA,NA,NA
"811","TE","Gerell Robinson",2500,0,0,0,NA,NA,NA,NA
"812","TE","Cory Harkey",2500,1.344,3.4,1,NA,NA,NA,NA
"813","TE","MarQueis Gray",2500,1.723,23.6,0,NA,NA,NA,NA
"814","TE","Tim Wright",2500,4.872,NA,NA,NA,NA,NA,NA
"815","TE","Ryan Griffin",2500,1.569,5.7,1,NA,NA,NA,NA
"816","TE","Brad Smelley",2500,0,NA,NA,NA,NA,NA,NA
"817","TE","Chris Gragg",2500,1.78,4.8,1,NA,NA,NA,NA
"818","TE","Ryan Otten",2500,0,NA,NA,NA,NA,NA,NA
"819","TE","Luke Willson",2500,5.947,24.1,3,NA,NA,NA,NA
"820","TE","Jordan Thompson",2500,0,0,0,NA,NA,NA,NA
"821","TE","Joseph Fauria",2500,3.057,10.6,1,NA,NA,NA,NA
"822","TE","Jack Doyle",2500,2.637,7.4,2,NA,NA,NA,NA
"823","TE","Vance McDonald",2500,0.5,3.8,0,NA,NA,NA,NA
"824","TE","Marcel Jensen",2500,1.8,8,0,NA,NA,NA,NA
"825","TE","Justin Perillo",2500,0,NA,NA,NA,NA,NA,NA
"826","TE","Nick Kasa",2500,0,NA,NA,NA,NA,NA,NA
"827","TE","Ryan Hewitt",2500,1.488,5.4,0,NA,NA,0,0
"828","TE","Levine Toilolo",2500,4.113,14.9,2,NA,NA,NA,NA
"829","TE","Justice Cunningham",2500,0,NA,NA,NA,NA,NA,NA
"830","TE","Matt Lengel",2500,0,NA,NA,NA,NA,NA,NA
"831","TE","Gabe Holmes",2500,0,NA,NA,NA,NA,NA,NA
"832","TE","Gavin Escobar",2500,2.417,6.6,4,NA,NA,NA,NA
"833","TE","Ted Bolser",2500,0,NA,NA,NA,NA,NA,NA
"834","TE","Alex Bayer",2500,0,NA,NA,NA,NA,NA,NA
"835","TE","Dion Sims",2500,4.6,20.3,2,NA,NA,NA,NA
"836","TE","Blake Annen",2500,0,NA,NA,NA,NA,NA,NA
"837","TE","Orson Charles",2500,0,NA,NA,NA,NA,NA,NA
"838","TE","Arthur Lynch",2500,0,NA,NA,NA,NA,NA,NA
"839","TE","Brandon Bostick",2500,0.553,0.2,1,NA,NA,NA,NA
"840","TE","Jerome Cunningham",2500,0,NA,NA,NA,NA,NA,NA
"841","TE","Nic Jacobs",2500,0.738,1.2,1,NA,NA,NA,NA
"842","TE","Brandon Williams",2500,0.525,3.1,0,NA,NA,NA,NA
"843","TE","Cooper Helfet",2500,3.864,18.5,2,NA,NA,NA,NA
"844","TE","Devin Mahina",2500,0,NA,NA,NA,NA,NA,NA
"845","TE","Crockett Gillmore",2500,2.3,8.1,1,NA,NA,NA,NA
"846","TE","Trey Burton",2500,0.067,NA,NA,NA,NA,0.7,0
"847","TE","Gerald Christian",2500,0,NA,NA,NA,NA,NA,NA
"848","TE","Blake Bell",2500,0,NA,NA,NA,NA,NA,NA
"849","TE","Je'Ron Hamm",2500,0,NA,NA,NA,NA,NA,NA
"850","TE","Justin Sinz",2500,0,NA,NA,NA,NA,NA,NA
"851","TE","Erik Swoope",2500,0,NA,NA,NA,NA,NA,NA
"852","TE","Harold Spears",2500,0,NA,NA,NA,NA,NA,NA
"853","TE","James O'Shaughnessy",2500,0,NA,NA,NA,NA,NA,NA
"854","TE","MyCole Pruitt",2500,0,NA,NA,NA,NA,NA,NA
"855","TE","Cameron Brate",2500,0.54,3.4,0,NA,NA,NA,NA
"856","TE","Will Tye",2500,0,NA,NA,NA,NA,NA,NA
"857","TE","Chase Ford",2500,4.982,23.5,1,NA,NA,NA,NA
"858","TE","C.J. Fiedorowicz",2500,0.853,1.9,1,NA,NA,NA,NA
"859","TE","Eric Tomlinson",2500,0,NA,NA,NA,NA,NA,NA
"860","TE","Randall Telfer",2500,0,NA,NA,NA,NA,NA,NA
"861","TE","Brian Parker",2500,0,NA,NA,NA,NA,NA,NA
"862","TE","Brian Vogler",2500,0,NA,NA,NA,NA,NA,NA
"863","TE","Mike McFarland",2500,0,NA,NA,NA,NA,NA,NA
"864","TE","Andrew Gleichert",2500,0,NA,NA,NA,NA,NA,NA
"865","TE","Chase Dixon",2500,0,NA,NA,NA,NA,NA,NA
"866","TE","Taylor Sloat",2500,0,NA,NA,NA,NA,NA,NA
"867","TE","Connor Hamlett",2500,0,NA,NA,NA,NA,NA,NA
"868","TE","Casey Pierce",2500,0,NA,NA,NA,NA,NA,NA
"869","TE","RaShaun Allen",2500,0,NA,NA,NA,NA,NA,NA
"870","TE","Scott Simonson",2500,0,NA,NA,NA,NA,NA,NA
"871","TE","Jake Murphy",2500,0,NA,NA,NA,NA,NA,NA
"872","TE","Kyle Miller",2500,0,NA,NA,NA,NA,NA,NA
"873","TE","Justin Tukes",2500,0,NA,NA,NA,NA,NA,NA
"874","TE","Anthony Denham",2500,0,NA,NA,NA,NA,NA,NA
"875","TE","Tyler Kroft",2500,0,NA,NA,NA,NA,NA,NA
"876","TE","Clay Burton",2500,0,NA,NA,NA,NA,NA,NA
"877","TE","C.J. Uzomah",2500,0,NA,NA,NA,NA,NA,NA
"878","TE","Jeff Heuerman",2500,0,NA,NA,NA,NA,NA,NA
"879","TE","Earnest Pettway",2500,0,NA,NA,NA,NA,NA,NA
"880","TE","Demetrius Harris",2500,0.625,2.5,0,NA,NA,NA,NA
"881","TE","Mitchell Henry",2500,0,NA,NA,NA,NA,NA,NA
"882","TE","Busta Anderson",2500,0,NA,NA,NA,NA,NA,NA
"883","TE","Nick O'Leary",2500,0,NA,NA,NA,NA,NA,NA
"884","TE","Jack Tabb",2500,0,NA,NA,NA,NA,NA,NA
"885","TE","Matt LaCosse",2500,0,NA,NA,NA,NA,NA,NA
"886","TE","Tevin Westbrook",2500,0,NA,NA,NA,NA,NA,NA
"887","TE","Richard Rodgers",2500,3.906,14.1,2,NA,NA,NA,NA
"888","TE","Nick Boyle",2500,0,NA,NA,NA,NA,NA,NA
"889","TE","Eric Frohnapfel",2500,0,NA,NA,NA,NA,NA,NA
"890","TE","Kennard Backman",2500,0,NA,NA,NA,NA,NA,NA
"891","TE","Ben Koyack",2500,0,NA,NA,NA,NA,NA,NA
"892","TE","Troy Niklas",2500,0.971,5.4,0,NA,NA,NA,NA
"893","TE","Ray Hamilton",2500,0,NA,NA,NA,NA,NA,NA
"894","TE","Beau Gardner",2500,0,NA,NA,NA,NA,NA,NA
"895","TE","Phillip Supernaw",2500,0.75,4.5,0,NA,NA,NA,NA
"896","TE","Wes Saxton",2500,0,NA,NA,NA,NA,NA,NA
"897","TE","Derek Carrier",2500,1.791,9.5,0,NA,NA,0.2,0
"898","TE","Dominique Jones",2500,0,NA,NA,NA,NA,NA,NA
"899","TE","Brian Leonhardt",2500,1.292,2.9,1,NA,NA,NA,NA
"900","TE","Geoff Swaim",2500,0,NA,NA,NA,NA,NA,NA
"901","TE","E.J. Bibbs",2500,0,NA,NA,NA,NA,NA,NA
"902","TE","Gannon Sinclair",2500,0,NA,NA,NA,NA,NA,NA
"903","TE","Jean Sifrin",2500,0,NA,NA,NA,NA,NA,NA
"904","TE","Khari Lee",2500,0,NA,NA,NA,NA,NA,NA
"905","TE","John Peters",2500,0,NA,NA,NA,NA,NA,NA
"906","DST","Bears ",2400,6.563,NA,NA,NA,NA,NA,NA
"907","DST","Raiders ",2300,3.813,NA,NA,NA,NA,NA,NA
