"","Position","Name","Salary","AvgPointsPerGame","AvgRecYardsPerGame","RecTDs","AvgPassYardsPerGame","PassTDs","AvgRushYardsPerGame","RushTDs"
"411","RB","Jarryd Hayne",3000,0,NA,NA,NA,NA,NA,NA
"412","RB","Kenjon Barner",3000,0,NA,NA,NA,NA,NA,NA
"413","RB","LaMichael James",3000,0.3,0,0,NA,NA,4.5,0
"414","WR","Brice Butler",3000,4.067,18.7,2,NA,NA,NA,NA
"415","RB","Zach Line",3000,0,NA,NA,NA,NA,NA,NA
"416","WR","Chris Owusu",3000,3.513,11.6,0,NA,NA,4.6,1
"417","WR","Griff Whalen",3000,0.33,2.3,0,NA,NA,NA,NA
"418","WR","Brenton Bersin",3000,2.165,10.1,1,NA,NA,NA,NA
"419","RB","Derrick Coleman",3000,2.18,5.8,1,NA,NA,NA,NA
"420","RB","Jonathan Grimes",3000,1.869,5.4,0,NA,NA,9.6,0
"421","WR","Frankie Hammond Jr.",3000,0.531,NA,NA,NA,NA,NA,NA
"422","WR","Jaron Brown",3000,3.347,14.3,2,NA,NA,NA,NA
"423","WR","T.J. Graham",3000,1.475,7.2,1,NA,NA,NA,NA
"424","RB","Ryan Williams",3000,0,NA,NA,NA,NA,NA,NA
"425","WR","Chris Givens",3000,2.379,11.4,1,NA,NA,0.3,0
"426","WR","Tandon Doss",3000,0,NA,NA,NA,NA,NA,NA
"427","WR","A.J. Jenkins",3000,2.011,10.3,0,NA,NA,-0.2,0
"428","RB","Michael Cox",3000,1.55,2.2,0,NA,NA,8.2,0
"429","RB","Glenn Winston",3000,0,NA,NA,NA,NA,NA,NA
"430","WR","Keshawn Martin",3000,0.863,4.9,0,NA,NA,NA,NA
"431","WR","Myles White",3000,0,NA,NA,NA,NA,NA,NA
"432","WR","DeVier Posey",3000,4,30,0,NA,NA,NA,NA
"433","WR","Jarrett Boykin",3000,0.353,1.8,0,NA,NA,NA,NA
"434","WR","LaRon Byrd",3000,0,NA,NA,NA,NA,NA,NA
"435","WR","Travis Benjamin",3000,4.281,19.6,3,NA,NA,0.7,0
"436","WR","Tommy Streeter",3000,0,NA,NA,NA,NA,NA,NA
"437","RB","Jordan Todman",3000,4.713,12.4,1,NA,NA,11.6,1
"438","WR","Jarius Wright",3000,7.869,36.8,2,NA,NA,4.4,0
"439","WR","Damaris Johnson",3000,4.5,20.7,1,NA,NA,1.2,0
"440","RB","Lance Dunbar",3000,2.756,13.6,0,NA,NA,6.2,0
"441","WR","Darius Davis",3000,0,NA,NA,NA,NA,NA,NA
"442","WR","Russell Shepard",3000,0.644,3.9,0,NA,NA,NA,NA
"443","RB","Zurlon Tipton",3000,4.289,11.3,1,NA,NA,3,0
"444","RB","Matthew Tucker",3000,0,NA,NA,NA,NA,NA,NA
"445","RB","Mike James",3000,0.382,-0.5,0,NA,NA,3.4,0
"446","RB","Tommy Bohanon",3000,1.325,7.5,0,NA,NA,0.8,0
"447","RB","Toben Opurum",3000,0,NA,NA,NA,NA,NA,NA
"448","WR","Ryan Grant",3000,0.863,4.2,0,NA,NA,NA,NA
"449","RB","Rex Burkhead",3000,2.93,5.4,0,NA,NA,3,1
"450","WR","Stephen Hill",3000,0,NA,NA,NA,NA,NA,NA
"451","RB","Benny Cunningham",3000,7.925,22,1,NA,NA,15.4,3
"452","RB","Kendall Gaskins",3000,0,NA,NA,NA,NA,NA,NA
"453","WR","Michael Campanaro",3000,5.183,25.5,1,NA,NA,NA,NA
"454","RB","Nikita Whitlock",3000,0,NA,NA,NA,NA,NA,NA
"455","RB","Kyle Juszczyk",3000,2.872,11.4,1,NA,NA,NA,NA
"456","RB","Bryce Brown",3000,6.457,25.1,0,NA,NA,18,0
"457","WR","Ryan Spadola",3000,0,NA,NA,NA,NA,NA,NA
"458","RB","Stepfan Taylor",3000,4.413,5.6,3,NA,NA,14.9,1
"459","WR","Tevin Reese",3000,0,NA,NA,NA,NA,NA,NA
"460","WR","Andrew Peacock",3000,0,NA,NA,NA,NA,NA,NA
"461","WR","Tony Washington",3000,0,NA,NA,NA,NA,NA,NA
"462","RB","Ray Agnew",3000,0.392,1.2,0,NA,NA,0.2,0
"463","WR","Marquise Goodwin",3000,0.6,4.2,0,NA,NA,0.8,0
"464","RB","Kerwynn Williams",3000,6,2.2,0,NA,NA,49.2,0
"465","WR","Rico Richardson",3000,0,NA,NA,NA,NA,NA,NA
"466","WR","Emory Blake",3000,0,NA,NA,NA,NA,NA,NA
"467","RB","Brandon Wegher",3000,0,NA,NA,NA,NA,NA,NA
"468","WR","Kevin Norwood",3000,1.92,11.3,0,NA,NA,NA,NA
"469","WR","Andre Debose",3000,0,NA,NA,NA,NA,NA,NA
"470","RB","Mike Gillislee",3000,0,NA,NA,NA,NA,NA,NA
"471","WR","Shaq Evans",3000,0,NA,NA,NA,NA,NA,NA
"472","WR","Duron Carter",3000,0,NA,NA,NA,NA,NA,NA
"473","WR","Rodney Smith",3000,0,0,0,NA,NA,NA,NA
"474","RB","Chris Thompson",3000,7.95,13.5,1,NA,NA,6,0
"475","WR","Josh Lenz",3000,0,NA,NA,NA,NA,NA,NA
"476","WR","Ricardo Lockette",3000,2.733,12.2,2,NA,NA,0.1,0
"477","RB","Christine Michael",3000,1.97,1.2,0,NA,NA,17.5,0
"478","WR","EZ Nwachukwu",3000,0,NA,NA,NA,NA,NA,NA
"479","RB","Denard Robinson",3000,9.354,9.5,0,0,0,44.8,4
"480","RB","Fitzgerald Toussaint",3000,1.283,6.8,0,NA,NA,3,0
"481","RB","Edwin Baker",3000,0.067,NA,NA,NA,NA,0.7,0
"482","WR","Bennie Fowler",3000,0,NA,NA,NA,NA,NA,NA
"483","WR","Jared Abbrederis",3000,0,NA,NA,NA,NA,NA,NA
"484","WR","Nick Williams",3000,0,NA,NA,NA,NA,NA,NA
"485","WR","Devin Street",3000,0.211,1.1,0,NA,NA,NA,NA
"486","WR","Cobi Hamilton",3000,0,NA,NA,NA,NA,NA,NA
"487","WR","Marlon Brown",3000,3.769,18.2,0,NA,NA,NA,NA
